,Rank,City,Loaf of Fresh White Bread (500g)
0,,Albania,0.53
1,,Algeria,0.21
2,,Argentina,1.70
3,,Armenia,0.44
4,,Australia,2.09
5,,Austria,1.98
6,,Azerbaijan,0.35
7,,Bahrain,0.66
8,,Bangladesh,0.54
9,,Belarus,0.56
10,,Belgium,1.81
11,,Bosnia And Herzegovina,0.58
12,,Brazil,1.49
13,,Bulgaria,0.51
14,,Cambodia,1.32
15,,Canada,2.25
16,,Chile,1.10
17,,China,2.01
18,,Colombia,0.97
19,,Costa Rica,1.96
20,,Croatia,0.89
21,,Cyprus,1.44
22,,Czech Republic,0.82
23,,Denmark,2.11
24,,Dominican Republic,1.36
25,,Ecuador,1.55
26,,Egypt,0.68
27,,Estonia,0.79
28,,Finland,2.12
29,,France,1.32
30,,Georgia,0.35
31,,Germany,1.57
32,,Greece,0.89
33,,Guatemala,1.99
34,,Hong Kong,1.86
35,,Hungary,0.63
36,,Iceland,2.65
37,,India,0.41
38,,Indonesia,1.05
39,,Iran,0.45
40,,Iraq,0.74
41,,Ireland,1.54
42,,Israel,1.74
43,,Italy,1.56
44,,Jamaica,2.57
45,,Japan,1.31
46,,Jordan,0.32
47,,Kazakhstan,0.45
48,,Kenya,0.61
49,,Kuwait,0.84
50,,Latvia,0.85
51,,Lebanon,0.82
52,,Lithuania,0.95
53,,Luxembourg,2.17
54,,Macedonia,0.48
55,,Malaysia,0.84
56,,Malta,1.01
57,,Mauritius,0.75
58,,Mexico,1.58
59,,Moldova,0.28
60,,Montenegro,0.64
61,,Morocco,0.43
62,,Nepal,0.41
63,,Netherlands,1.32
64,,New Zealand,1.87
65,,Nigeria,1.29
66,,Norway,3.17
67,,Oman,0.87
68,,Pakistan,0.51
69,,Panama,1.81
70,,Peru,1.89
71,,Philippines,1.08
72,,Poland,0.70
73,,Portugal,1.18
74,,Puerto Rico,2.67
75,,Qatar,1.48
76,,Romania,0.48
77,,Russia,0.55
78,,Saudi Arabia,0.65
79,,Serbia,0.41
80,,Singapore,1.63
81,,Slovakia,0.94
82,,Slovenia,1.24
83,,South Africa,0.95
84,,South Korea,2.21
85,,Spain,1.03
86,,Sri Lanka,0.47
87,,Sweden,2.30
88,,Switzerland,2.77
89,,Taiwan,1.55
90,,Tanzania,0.62
91,,Thailand,1.20
92,,Trinidad And Tobago,1.79
93,,Tunisia,0.16
94,,Turkey,0.53
95,,Ukraine,0.34
96,,United Arab Emirates,1.19
97,,United Kingdom,1.43
98,,United States,2.58
99,,Uruguay,2.54
100,,Venezuela,0.75
101,,Vietnam,0.85
102,,Zimbabwe,0.98
