,Rank,City,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child"
0,,Albania,139.63
1,,Algeria,49.84
2,,Argentina,199.34
3,,Armenia,128.36
4,,Australia,1368.98
5,,Austria,315.10
6,,Azerbaijan,196.70
7,,Bahrain,298.64
8,,Bangladesh,44.68
9,,Belarus,475.04
10,,Belgium,650.02
11,,Bolivia,188.54
12,,Bosnia And Herzegovina,157.87
13,,Brazil,323.76
14,,Brunei,215.46
15,,Bulgaria,348.59
16,,Cambodia,-
17,,Canada,764.66
18,,Chile,395.20
19,,China,501.53
20,,Colombia,197.63
21,,Costa Rica,329.49
22,,Croatia,154.84
23,,Cyprus,360.59
24,,Czech Republic,467.52
25,,Denmark,457.85
26,,Dominican Republic,143.19
27,,Ecuador,293.70
28,,Egypt,118.88
29,,El Salvador,151.67
30,,Estonia,176.11
31,,Ethiopia,-
32,,Finland,343.05
33,,France,697.32
34,,Georgia,113.70
35,,Germany,395.32
36,,Greece,377.85
37,,Guatemala,224.74
38,,Honduras,185.51
39,,Hong Kong,709.26
40,,Hungary,297.19
41,,Iceland,289.41
42,,India,64.83
43,,Indonesia,112.42
44,,Iran,114.50
45,,Iraq,117.79
46,,Ireland,1081.83
47,,Israel,828.48
48,,Italy,502.25
49,,Jamaica,-
50,,Japan,468.38
51,,Jordan,254.01
52,,Kazakhstan,155.48
53,,Kenya,188.97
54,,Kosovo (Disputed Territory),91.15
55,,Kuwait,216.60
56,,Latvia,374.98
57,,Lebanon,382.95
58,,Lithuania,358.19
59,,Luxembourg,1540.22
60,,Macedonia,140.63
61,,Malaysia,155.78
62,,Malta,369.38
63,,Mauritius,158.27
64,,Mexico,180.51
65,,Moldova,-
66,,Montenegro,148.00
67,,Morocco,115.31
68,,Namibia,91.04
69,,Nepal,56.80
70,,Netherlands,1544.18
71,,New Zealand,752.15
72,,Nigeria,93.93
73,,Norway,361.19
74,,Oman,206.99
75,,Pakistan,47.19
76,,Palestinian Territory,160.21
77,,Panama,224.33
78,,Peru,245.88
79,,Philippines,141.84
80,,Poland,261.85
81,,Portugal,424.20
82,,Puerto Rico,370.00
83,,Qatar,595.32
84,,Romania,307.71
85,,Russia,294.25
86,,Saudi Arabia,263.14
87,,Serbia,256.73
88,,Singapore,858.15
89,,Slovakia,395.13
90,,Slovenia,396.94
91,,South Africa,206.56
92,,South Korea,371.09
93,,Spain,429.35
94,,Sri Lanka,44.51
95,,Sweden,132.77
96,,Switzerland,2202.60
97,,Taiwan,497.93
98,,Thailand,303.79
99,,Trinidad And Tobago,310.83
100,,Tunisia,67.91
101,,Turkey,265.72
102,,Uganda,-
103,,Ukraine,209.17
104,,United Arab Emirates,540.84
105,,United Kingdom,1198.95
106,,United States,953.68
107,,Uruguay,288.64
108,,Uzbekistan,113.00
109,,Venezuela,17.60
110,,Vietnam,137.47
