,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.20
1,,Argentina,2.67
2,,Australia,4.96
3,,Austria,1.24
4,,Bahrain,3.19
5,,Bangladesh,4.30
6,,Belarus,1.69
7,,Belgium,1.92
8,,Bosnia And Herzegovina,1.07
9,,Brazil,2.79
10,,Bulgaria,1.08
11,,Cambodia,1.25
12,,Canada,3.21
13,,Chile,2.04
14,,China,2.34
15,,Colombia,2.85
16,,Costa Rica,2.63
17,,Croatia,1.52
18,,Cyprus,1.74
19,,Czech Republic,1.21
20,,Denmark,2.74
21,,Dominican Republic,1.57
22,,Ecuador,2.05
23,,Egypt,2.08
24,,Estonia,1.56
25,,Finland,2.79
26,,France,1.86
27,,Georgia,1.31
28,,Germany,1.31
29,,Greece,2.02
30,,Hong Kong,2.64
31,,Hungary,1.19
32,,Iceland,2.72
33,,India,2.10
34,,Indonesia,3.00
35,,Iran,7.48
36,,Iraq,2.58
37,,Ireland,2.62
38,,Israel,2.87
39,,Italy,1.83
40,,Japan,4.23
41,,Jordan,5.60
42,,Kazakhstan,1.91
43,,Kenya,1.99
44,,Kuwait,0.60
45,,Latvia,1.56
46,,Lebanon,1.69
47,,Lithuania,1.03
48,,Luxembourg,2.31
49,,Macedonia,1.06
50,,Malaysia,3.45
51,,Malta,1.59
52,,Mauritius,2.37
53,,Mexico,1.62
54,,Morocco,2.08
55,,Nepal,2.57
56,,Netherlands,1.44
57,,New Zealand,3.17
58,,Nigeria,3.85
59,,Norway,5.18
60,,Oman,1.30
61,,Pakistan,5.19
62,,Peru,1.80
63,,Philippines,1.88
64,,Poland,1.17
65,,Portugal,1.52
66,,Puerto Rico,2.16
67,,Qatar,8.87
68,,Romania,1.26
69,,Russia,2.11
70,,Saudi Arabia,1.89
71,,Serbia,1.06
72,,Singapore,3.99
73,,Slovakia,1.19
74,,Slovenia,1.82
75,,South Africa,1.62
76,,South Korea,3.50
77,,Spain,1.51
78,,Sri Lanka,1.68
79,,Sweden,2.04
80,,Switzerland,1.70
81,,Taiwan,1.40
82,,Tanzania,1.84
83,,Thailand,2.26
84,,Tunisia,1.49
85,,Turkey,2.69
86,,Ukraine,1.46
87,,United Arab Emirates,5.57
88,,United Kingdom,2.54
89,,United States,3.06
90,,Uruguay,2.57
91,,Venezuela,5.51
92,,Vietnam,1.33
