,Rank,City,Domestic Beer (0.5 liter bottle)
0,,Argentina,1.36
1,,Australia,4.17
2,,Austria,1.15
3,,Bangladesh,1.55
4,,Belgium,1.72
5,,Bosnia And Herzegovina,0.77
6,,Brazil,1.73
7,,Bulgaria,0.73
8,,Canada,2.79
9,,Chile,1.08
10,,China,0.59
11,,Colombia,1.14
12,,Costa Rica,1.50
13,,Croatia,1.25
14,,Cyprus,1.40
15,,Czech Republic,0.85
16,,Denmark,2.01
17,,Ecuador,0.75
18,,Egypt,1.57
19,,Estonia,1.38
20,,Finland,3.38
21,,France,2.41
22,,Germany,1.18
23,,Greece,1.84
24,,Hong Kong,1.64
25,,Hungary,1.15
26,,Iceland,3.34
27,,India,1.56
28,,Indonesia,2.04
29,,Iran,4.30
30,,Ireland,4.39
31,,Israel,2.15
32,,Italy,2.00
33,,Japan,3.91
34,,Jordan,3.17
35,,Latvia,1.40
36,,Lebanon,1.00
37,,Lithuania,1.17
38,,Macedonia,0.88
39,,Malaysia,2.26
40,,Malta,1.88
41,,Mexico,1.11
42,,Morocco,1.71
43,,Netherlands,1.48
44,,New Zealand,3.11
45,,Norway,4.68
46,,Pakistan,2.77
47,,Panama,0.52
48,,Peru,1.72
49,,Philippines,0.81
50,,Poland,1.06
51,,Portugal,1.27
52,,Puerto Rico,1.39
53,,Qatar,2.48
54,,Romania,0.91
55,,Russia,1.26
56,,Saudi Arabia,0.56
57,,Serbia,0.76
58,,Singapore,4.42
59,,Slovakia,1.04
60,,Slovenia,1.46
61,,South Africa,1.79
62,,South Korea,1.80
63,,Spain,1.13
64,,Sri Lanka,1.34
65,,Sweden,2.43
66,,Switzerland,1.92
67,,Syria,0.93
68,,Taiwan,1.38
69,,Thailand,1.48
70,,Tunisia,1.62
71,,Turkey,1.96
72,,Ukraine,0.72
73,,United Arab Emirates,4.36
74,,United Kingdom,3.06
75,,United States,2.37
76,,Uruguay,2.01
77,,Venezuela,1.48
78,,Vietnam,0.90
