,Rank,City,Tennis Court Rent (1 Hour on Weekend)
0,,Albania,8.47
1,,Algeria,11.01
2,,Argentina,14.89
3,,Armenia,12.37
4,,Australia,15.68
5,,Austria,21.20
6,,Azerbaijan,11.90
7,,Bahamas,-
8,,Bahrain,26.14
9,,Bangladesh,15.51
10,,Belarus,15.62
11,,Belgium,18.01
12,,Belize,-
13,,Bolivia,-
14,,Bosnia And Herzegovina,8.75
15,,Brazil,26.30
16,,Bulgaria,12.32
17,,Cambodia,-
18,,Canada,14.93
19,,Chile,21.56
20,,China,12.88
21,,Colombia,9.91
22,,Costa Rica,20.19
23,,Croatia,11.40
24,,Cyprus,17.96
25,,Czech Republic,11.82
26,,Denmark,25.56
27,,Dominican Republic,16.15
28,,Ecuador,16.13
29,,Egypt,6.63
30,,El Salvador,14.17
31,,Estonia,24.45
32,,Fiji,5.34
33,,Finland,26.81
34,,France,18.76
35,,Georgia,10.01
36,,Germany,21.04
37,,Ghana,-
38,,Greece,19.39
39,,Guatemala,19.35
40,,Hong Kong,7.35
41,,Hungary,13.25
42,,Iceland,43.04
43,,India,7.06
44,,Indonesia,7.67
45,,Iran,18.72
46,,Iraq,15.26
47,,Ireland,18.90
48,,Israel,16.96
49,,Italy,21.99
50,,Jamaica,-
51,,Japan,25.36
52,,Jordan,27.23
53,,Kazakhstan,12.96
54,,Kenya,7.68
55,,Kosovo (Disputed Territory),5.84
56,,Kuwait,45.72
57,,Latvia,27.05
58,,Lebanon,26.41
59,,Lithuania,19.13
60,,Luxembourg,-
61,,Macedonia,8.24
62,,Malaysia,5.86
63,,Malta,19.15
64,,Mauritius,-
65,,Mexico,11.24
66,,Moldova,13.46
67,,Montenegro,11.09
68,,Morocco,19.31
69,,Namibia,-
70,,Nepal,12.22
71,,Netherlands,21.10
72,,New Zealand,11.14
73,,Nigeria,9.64
74,,Norway,34.70
75,,Oman,23.70
76,,Pakistan,9.01
77,,Panama,25.00
78,,Peru,14.97
79,,Philippines,4.03
80,,Poland,14.08
81,,Portugal,12.80
82,,Puerto Rico,17.20
83,,Qatar,29.21
84,,Romania,13.53
85,,Russia,19.33
86,,Saudi Arabia,28.37
87,,Serbia,8.89
88,,Singapore,7.86
89,,Slovakia,12.32
90,,Slovenia,14.29
91,,South Africa,9.68
92,,South Korea,24.96
93,,Spain,14.52
94,,Sri Lanka,6.72
95,,Sweden,22.48
96,,Switzerland,35.67
97,,Taiwan,12.94
98,,Tanzania,19.28
99,,Thailand,10.08
100,,Trinidad And Tobago,9.78
101,,Tunisia,6.59
102,,Turkey,14.64
103,,Uganda,5.83
104,,Ukraine,8.82
105,,United Arab Emirates,23.58
106,,United Kingdom,13.52
107,,United States,15.87
108,,Uruguay,18.22
109,,Uzbekistan,7.73
110,,Venezuela,5.32
111,,Vietnam,7.06
112,,Zimbabwe,-
