,Rank,City,Apples (1kg)
0,,Albania,0.87
1,,Algeria,2.42
2,,Argentina,1.94
3,,Armenia,1.05
4,,Australia,3.12
5,,Austria,2.78
6,,Azerbaijan,0.71
7,,Bahamas,-
8,,Bahrain,2.09
9,,Bangladesh,1.88
10,,Belarus,1.20
11,,Belgium,2.46
12,,Belize,-
13,,Bolivia,-
14,,Bosnia And Herzegovina,1.01
15,,Brazil,1.52
16,,Bulgaria,1.24
17,,Cambodia,3.10
18,,Canada,3.10
19,,Chile,1.56
20,,China,1.87
21,,Colombia,1.75
22,,Costa Rica,4.07
23,,Croatia,1.42
24,,Cyprus,2.19
25,,Czech Republic,1.51
26,,Denmark,2.87
27,,Dominican Republic,1.71
28,,Ecuador,2.13
29,,Egypt,1.42
30,,El Salvador,-
31,,Estonia,1.09
32,,Fiji,-
33,,Finland,2.39
34,,France,2.89
35,,Georgia,1.01
36,,Germany,2.74
37,,Ghana,-
38,,Greece,1.54
39,,Guatemala,1.96
40,,Hong Kong,3.26
41,,Hungary,1.22
42,,Iceland,2.70
43,,India,1.99
44,,Indonesia,2.73
45,,Iran,1.26
46,,Iraq,1.14
47,,Ireland,2.32
48,,Israel,2.66
49,,Italy,2.10
50,,Jamaica,-
51,,Japan,6.62
52,,Jordan,2.01
53,,Kazakhstan,1.39
54,,Kenya,2.90
55,,Kosovo (Disputed Territory),-
56,,Kuwait,1.95
57,,Latvia,1.20
58,,Lebanon,1.88
59,,Lithuania,1.07
60,,Luxembourg,2.82
61,,Macedonia,0.81
62,,Malaysia,2.64
63,,Malta,2.56
64,,Mauritius,-
65,,Mexico,1.92
66,,Moldova,0.80
67,,Montenegro,1.03
68,,Morocco,1.31
69,,Namibia,-
70,,Nepal,1.79
71,,Netherlands,2.71
72,,New Zealand,2.54
73,,Nigeria,2.61
74,,Norway,3.46
75,,Oman,2.30
76,,Pakistan,1.41
77,,Panama,-
78,,Peru,1.67
79,,Philippines,2.65
80,,Poland,0.84
81,,Portugal,1.89
82,,Puerto Rico,4.47
83,,Qatar,1.95
84,,Romania,0.97
85,,Russia,1.40
86,,Saudi Arabia,1.89
87,,Serbia,0.87
88,,Singapore,2.96
89,,Slovakia,1.80
90,,Slovenia,1.61
91,,South Africa,1.67
92,,South Korea,7.14
93,,Spain,2.00
94,,Sri Lanka,2.86
95,,Sweden,2.81
96,,Switzerland,4.11
97,,Taiwan,4.69
98,,Tanzania,2.45
99,,Thailand,3.06
100,,Trinidad And Tobago,-
101,,Tunisia,1.79
102,,Turkey,0.96
103,,Uganda,-
104,,Ukraine,0.78
105,,United Arab Emirates,1.98
106,,United Kingdom,2.42
107,,United States,4.43
108,,Uruguay,2.30
109,,Uzbekistan,0.95
110,,Venezuela,3.44
111,,Vietnam,2.76
112,,Zimbabwe,3.09
