,Rank,City,Water (0.33 liter bottle)
0,,Albania,0.57
1,,Algeria,0.20
2,,Argentina,1.10
3,,Armenia,0.47
4,,Australia,2.08
5,,Austria,2.38
6,,Azerbaijan,0.22
7,,Bahamas,1.46
8,,Bahrain,0.40
9,,Bangladesh,0.18
10,,Belarus,0.49
11,,Belgium,2.40
12,,Belize,0.83
13,,Bolivia,0.76
14,,Bosnia And Herzegovina,0.74
15,,Brazil,0.74
16,,Bulgaria,0.61
17,,Cambodia,0.46
18,,Canada,1.39
19,,Chile,1.09
20,,China,0.33
21,,Colombia,0.68
22,,Costa Rica,1.52
23,,Croatia,1.51
24,,Cyprus,0.73
25,,Czech Republic,1.05
26,,Denmark,2.57
27,,Dominican Republic,0.52
28,,Ecuador,0.46
29,,Egypt,0.20
30,,El Salvador,0.69
31,,Estonia,1.34
32,,Fiji,0.82
33,,Finland,2.16
34,,France,1.90
35,,Georgia,0.20
36,,Germany,2.18
37,,Ghana,0.44
38,,Greece,0.58
39,,Guatemala,0.75
40,,Hong Kong,0.98
41,,Hungary,0.78
42,,Iceland,2.41
43,,India,0.21
44,,Indonesia,0.26
45,,Iran,0.25
46,,Iraq,0.22
47,,Ireland,1.55
48,,Israel,1.95
49,,Italy,1.16
50,,Jamaica,0.79
51,,Japan,0.95
52,,Jordan,0.40
53,,Kazakhstan,0.37
54,,Kenya,0.46
55,,Kosovo (Disputed Territory),0.58
56,,Kuwait,0.41
57,,Latvia,0.84
58,,Lebanon,0.50
59,,Lithuania,1.18
60,,Luxembourg,2.95
61,,Macedonia,0.77
62,,Malaysia,0.33
63,,Malta,1.27
64,,Mauritius,0.93
65,,Mexico,0.54
66,,Moldova,0.48
67,,Montenegro,1.30
68,,Morocco,0.37
69,,Namibia,0.64
70,,Nepal,0.22
71,,Netherlands,2.27
72,,New Zealand,1.80
73,,Nigeria,0.25
74,,Norway,2.83
75,,Oman,0.27
76,,Pakistan,0.25
77,,Panama,1.08
78,,Peru,0.50
79,,Philippines,0.33
80,,Poland,0.88
81,,Portugal,1.06
82,,Puerto Rico,1.01
83,,Qatar,0.27
84,,Romania,1.13
85,,Russia,0.54
86,,Saudi Arabia,0.24
87,,Serbia,0.91
88,,Singapore,0.84
89,,Slovakia,1.13
90,,Slovenia,1.72
91,,South Africa,0.77
92,,South Korea,0.81
93,,Spain,1.39
94,,Sri Lanka,0.32
95,,Sweden,2.05
96,,Switzerland,3.40
97,,Taiwan,0.67
98,,Tanzania,0.28
99,,Thailand,0.32
100,,Trinidad And Tobago,0.75
101,,Tunisia,0.24
102,,Turkey,0.27
103,,Uganda,0.30
104,,Ukraine,0.35
105,,United Arab Emirates,0.36
106,,United Kingdom,1.20
107,,United States,1.46
108,,Uruguay,1.15
109,,Uzbekistan,0.29
110,,Venezuela,0.44
111,,Vietnam,0.32
112,,Zimbabwe,0.86
