,Rank,City,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)
0,,Albania,0.19
1,,Algeria,0.08
2,,Argentina,0.26
3,,Armenia,0.04
4,,Australia,0.22
5,,Austria,0.07
6,,Azerbaijan,0.04
7,,Bahrain,0.10
8,,Bangladesh,0.01
9,,Belarus,0.03
10,,Belgium,0.20
11,,Bolivia,0.16
12,,Bosnia And Herzegovina,0.12
13,,Brazil,0.42
14,,Bulgaria,0.16
15,,Cambodia,0.04
16,,Canada,0.23
17,,Chile,0.12
18,,China,0.03
19,,Colombia,0.06
20,,Costa Rica,0.06
21,,Croatia,0.13
22,,Cyprus,0.08
23,,Czech Republic,0.13
24,,Denmark,0.15
25,,Dominican Republic,0.21
26,,Ecuador,0.15
27,,Egypt,0.01
28,,Estonia,0.04
29,,Finland,0.08
30,,France,0.28
31,,Georgia,0.09
32,,Germany,0.10
33,,Greece,0.37
34,,Guatemala,0.14
35,,Hong Kong,0.05
36,,Hungary,0.11
37,,Iceland,0.19
38,,India,0.01
39,,Indonesia,0.12
40,,Iran,0.02
41,,Iraq,0.11
42,,Ireland,0.28
43,,Israel,0.08
44,,Italy,0.20
45,,Jamaica,-
46,,Japan,0.42
47,,Jordan,0.06
48,,Kazakhstan,0.03
49,,Kenya,0.03
50,,Kosovo (Disputed Territory),0.06
51,,Kuwait,0.14
52,,Latvia,0.10
53,,Lebanon,0.31
54,,Lithuania,0.10
55,,Luxembourg,-
56,,Macedonia,0.10
57,,Malaysia,0.06
58,,Malta,0.28
59,,Mauritius,0.04
60,,Mexico,0.07
61,,Moldova,0.08
62,,Montenegro,0.14
63,,Morocco,0.19
64,,Nepal,0.02
65,,Netherlands,0.16
66,,New Zealand,0.34
67,,Nigeria,0.09
68,,Norway,0.11
69,,Oman,0.19
70,,Pakistan,0.02
71,,Panama,0.12
72,,Peru,0.13
73,,Philippines,0.15
74,,Poland,0.07
75,,Portugal,0.14
76,,Puerto Rico,0.28
77,,Qatar,0.16
78,,Romania,0.14
79,,Russia,0.03
80,,Saudi Arabia,0.12
81,,Serbia,0.11
82,,Singapore,0.12
83,,Slovakia,0.10
84,,Slovenia,0.09
85,,South Africa,0.14
86,,South Korea,0.14
87,,Spain,0.18
88,,Sri Lanka,0.02
89,,Sweden,0.08
90,,Switzerland,0.38
91,,Taiwan,0.20
92,,Tanzania,-
93,,Thailand,0.05
94,,Trinidad And Tobago,0.22
95,,Tunisia,0.07
96,,Turkey,0.16
97,,Ukraine,0.03
98,,United Arab Emirates,0.14
99,,United Kingdom,0.16
100,,United States,0.13
101,,Uruguay,0.30
102,,Venezuela,-
103,,Vietnam,0.06
104,,Zimbabwe,0.17
