,Rank,City,Local Cheese (1kg)
0,,Argentina,9.68
1,,Australia,9.32
2,,Austria,18.52
3,,Belgium,17.28
4,,Bosnia And Herzegovina,9.26
5,,Brazil,7.92
6,,Bulgaria,4.58
7,,Canada,9.08
8,,Chile,6.88
9,,China,10.75
10,,Colombia,8.82
11,,Croatia,8.15
12,,Czech Republic,4.85
13,,Denmark,11.85
14,,Ecuador,3.50
15,,Egypt,8.00
16,,Estonia,6.44
17,,Finland,12.19
18,,France,10.47
19,,Germany,9.04
20,,Greece,9.98
21,,Hong Kong,19.47
22,,Hungary,6.37
23,,India,3.66
24,,Indonesia,18.33
25,,Iran,4.94
26,,Ireland,22.84
27,,Israel,10.63
28,,Italy,12.92
29,,Japan,21.57
30,,Jordan,11.51
31,,Kazakhstan,9.33
32,,Lithuania,6.97
33,,Malaysia,5.14
34,,Malta,9.96
35,,Mexico,5.68
36,,Morocco,14.81
37,,Netherlands,11.30
38,,New Zealand,7.39
39,,Norway,12.94
40,,Pakistan,4.25
41,,Panama,7.17
42,,Philippines,4.30
43,,Poland,6.67
44,,Portugal,7.41
45,,Puerto Rico,2.30
46,,Qatar,-
47,,Romania,4.58
48,,Russia,9.03
49,,Saudi Arabia,5.10
50,,Serbia,6.62
51,,Singapore,6.29
52,,Slovakia,5.76
53,,Slovenia,6.33
54,,South Africa,7.88
55,,South Korea,13.22
56,,Spain,9.11
57,,Sweden,9.97
58,,Switzerland,17.05
59,,Syria,5.53
60,,Taiwan,-
61,,Thailand,11.56
62,,Turkey,7.35
63,,Ukraine,8.25
64,,United Arab Emirates,16.00
65,,United Kingdom,7.37
66,,United States,9.10
67,,Vietnam,-
