,Rank,City,"Meal for 2 People, Mid-range Restaurant, Three-course"
0,,Albania,27.21
1,,Algeria,25.26
2,,Argentina,40.00
3,,Armenia,29.04
4,,Australia,74.05
5,,Austria,52.39
6,,Azerbaijan,38.25
7,,Bahrain,39.79
8,,Bangladesh,12.90
9,,Belarus,40.00
10,,Belgium,81.64
11,,Bosnia And Herzegovina,22.21
12,,Brazil,39.49
13,,Bulgaria,27.87
14,,Cambodia,18.00
15,,Canada,55.28
16,,Chile,41.83
17,,China,21.60
18,,Colombia,28.97
19,,Costa Rica,36.16
20,,Croatia,35.92
21,,Cyprus,54.43
22,,Czech Republic,27.23
23,,Denmark,91.14
24,,Dominican Republic,34.66
25,,Ecuador,20.00
26,,Egypt,20.98
27,,Estonia,40.82
28,,Finland,81.64
29,,France,68.04
30,,Georgia,25.70
31,,Germany,54.43
32,,Greece,47.63
33,,Hong Kong,45.14
34,,Hungary,31.46
35,,Iceland,106.05
36,,India,10.14
37,,Indonesia,12.80
38,,Iran,20.00
39,,Iraq,35.00
40,,Ireland,74.84
41,,Israel,63.28
42,,Italy,68.04
43,,Jamaica,45.00
44,,Japan,39.21
45,,Jordan,42.31
46,,Kazakhstan,35.42
47,,Kenya,22.79
48,,Kuwait,42.57
49,,Latvia,33.34
50,,Lebanon,50.00
51,,Lithuania,29.65
52,,Luxembourg,95.25
53,,Macedonia,17.67
54,,Malaysia,15.49
55,,Malta,68.04
56,,Mexico,27.20
57,,Morocco,18.21
58,,Nepal,8.42
59,,Netherlands,68.04
60,,New Zealand,76.23
61,,Nigeria,40.00
62,,Norway,133.45
63,,Oman,22.88
64,,Pakistan,10.14
65,,Panama,40.00
66,,Peru,27.09
67,,Philippines,15.96
68,,Poland,29.59
69,,Portugal,40.82
70,,Puerto Rico,50.00
71,,Qatar,54.94
72,,Romania,27.87
73,,Russia,51.54
74,,Saudi Arabia,26.66
75,,Serbia,29.40
76,,Singapore,39.79
77,,Slovakia,27.21
78,,Slovenia,40.82
79,,South Africa,33.07
80,,South Korea,36.62
81,,Spain,48.99
82,,Sri Lanka,12.66
83,,Sweden,74.73
84,,Switzerland,111.38
85,,Taiwan,19.98
86,,Thailand,18.24
87,,Trinidad And Tobago,54.23
88,,Tunisia,18.39
89,,Turkey,23.83
90,,Ukraine,21.22
91,,United Arab Emirates,40.84
92,,United Kingdom,75.36
93,,United States,50.00
94,,Uruguay,43.40
95,,Venezuela,65.00
96,,Vietnam,14.19
