,Rank,City,"Meal for 2 People, Mid-range Restaurant, Three-course"
0,,Albania,18.52
1,,Argentina,40.27
2,,Australia,77.67
3,,Austria,49.38
4,,Bahrain,60.00
5,,Bangladesh,13.97
6,,Belarus,34.00
7,,Belgium,68.52
8,,Bosnia And Herzegovina,18.88
9,,Brazil,32.98
10,,Bulgaria,25.32
11,,Cambodia,18.00
12,,Canada,58.25
13,,Chile,36.86
14,,China,15.70
15,,Colombia,23.69
16,,Costa Rica,34.83
17,,Croatia,32.79
18,,Cyprus,61.73
19,,Czech Republic,24.04
20,,Denmark,83.19
21,,Dominican Republic,21.50
22,,Ecuador,15.00
23,,Egypt,19.93
24,,Estonia,30.86
25,,Finland,71.82
26,,France,59.11
27,,Georgia,21.31
28,,Germany,49.38
29,,Greece,46.91
30,,Hong Kong,38.66
31,,Hungary,31.47
32,,Iceland,74.77
33,,India,8.89
34,,Indonesia,12.81
35,,Iran,20.18
36,,Iraq,45.00
37,,Ireland,61.73
38,,Israel,51.28
39,,Italy,61.73
40,,Japan,50.93
41,,Jordan,35.85
42,,Kazakhstan,50.08
43,,Kenya,24.77
44,,Kuwait,35.00
45,,Latvia,35.39
46,,Lebanon,40.00
47,,Lithuania,21.45
48,,Luxembourg,95.68
49,,Macedonia,21.57
50,,Malaysia,12.58
51,,Malta,47.53
52,,Mauritius,29.03
53,,Mexico,20.91
54,,Morocco,24.69
55,,Nepal,11.80
56,,Netherlands,61.73
57,,New Zealand,62.03
58,,Nigeria,50.00
59,,Norway,114.89
60,,Oman,23.68
61,,Pakistan,12.90
62,,Peru,22.00
63,,Philippines,14.98
64,,Poland,25.42
65,,Portugal,37.04
66,,Puerto Rico,50.00
67,,Qatar,54.95
68,,Romania,24.79
69,,Russia,44.92
70,,Saudi Arabia,25.00
71,,Serbia,24.69
72,,Singapore,38.76
73,,Slovakia,22.22
74,,Slovenia,37.04
75,,South Africa,41.18
76,,South Korea,25.46
77,,Spain,49.38
78,,Sri Lanka,15.23
79,,Sweden,68.78
80,,Switzerland,103.09
81,,Taiwan,24.09
82,,Tanzania,11.00
83,,Thailand,15.73
84,,Tunisia,18.52
85,,Turkey,26.88
86,,Ukraine,30.00
87,,United Arab Emirates,40.00
88,,United Kingdom,61.54
89,,United States,45.00
90,,Uruguay,49.83
91,,Venezuela,80.77
92,,Vietnam,14.39
