,Rank,City,"Milk (regular), (1 liter)"
0,,Albania,1.13
1,,Algeria,0.61
2,,Argentina,1.11
3,,Armenia,1.21
4,,Australia,1.09
5,,Austria,1.21
6,,Azerbaijan,1.01
7,,Bahrain,1.52
8,,Bangladesh,0.85
9,,Belarus,0.77
10,,Belgium,1.06
11,,Bolivia,0.92
12,,Bosnia And Herzegovina,0.77
13,,Brazil,0.82
14,,Brunei,-
15,,Bulgaria,1.16
16,,Cambodia,2.31
17,,Canada,1.74
18,,Chile,1.08
19,,China,1.93
20,,Colombia,0.75
21,,Costa Rica,1.35
22,,Croatia,0.96
23,,Cyprus,1.49
24,,Czech Republic,0.79
25,,Denmark,1.31
26,,Dominican Republic,1.06
27,,Ecuador,0.99
28,,Egypt,0.89
29,,El Salvador,-
30,,Estonia,0.79
31,,Ethiopia,1.02
32,,Finland,1.03
33,,France,1.16
34,,Georgia,1.15
35,,Germany,0.92
36,,Greece,1.33
37,,Guatemala,-
38,,Honduras,1.15
39,,Hong Kong,2.78
40,,Hungary,0.76
41,,Iceland,1.32
42,,India,0.68
43,,Indonesia,1.24
44,,Iran,0.90
45,,Iraq,1.16
46,,Ireland,1.07
47,,Israel,1.59
48,,Italy,1.27
49,,Jamaica,-
50,,Japan,1.78
51,,Jordan,1.52
52,,Kazakhstan,0.81
53,,Kenya,1.01
54,,Kosovo (Disputed Territory),1.08
55,,Kuwait,1.58
56,,Latvia,0.98
57,,Lebanon,2.16
58,,Lithuania,0.91
59,,Luxembourg,1.68
60,,Macedonia,0.91
61,,Malaysia,1.54
62,,Malta,1.14
63,,Mauritius,-
64,,Mexico,0.96
65,,Moldova,0.72
66,,Montenegro,0.84
67,,Morocco,0.72
68,,Namibia,1.52
69,,Nepal,0.77
70,,Netherlands,1.12
71,,New Zealand,1.70
72,,Nigeria,2.51
73,,Norway,2.12
74,,Oman,1.85
75,,Pakistan,0.73
76,,Palestinian Territory,1.75
77,,Panama,1.50
78,,Peru,1.25
79,,Philippines,1.65
80,,Poland,0.65
81,,Portugal,0.70
82,,Puerto Rico,1.82
83,,Qatar,1.74
84,,Romania,1.07
85,,Russia,0.95
86,,Saudi Arabia,1.33
87,,Serbia,0.86
88,,Singapore,2.22
89,,Slovakia,0.78
90,,Slovenia,1.06
91,,South Africa,1.02
92,,South Korea,2.12
93,,Spain,0.85
94,,Sri Lanka,1.25
95,,Sweden,1.22
96,,Switzerland,1.54
97,,Taiwan,2.77
98,,Thailand,1.55
99,,Trinidad And Tobago,1.71
100,,Tunisia,0.41
101,,Turkey,0.74
102,,Uganda,0.55
103,,Ukraine,0.89
104,,United Arab Emirates,1.57
105,,United Kingdom,1.15
106,,United States,0.83
107,,Uruguay,0.79
108,,Uzbekistan,0.66
109,,Venezuela,1.73
110,,Vietnam,1.38
