,Rank,City,Local Cheese (1kg)
0,,Albania,3.98
1,,Algeria,5.42
2,,Argentina,10.03
3,,Armenia,4.34
4,,Australia,7.22
5,,Austria,12.12
6,,Azerbaijan,4.81
7,,Bahrain,4.24
8,,Bangladesh,6.36
9,,Belarus,5.93
10,,Belgium,14.70
11,,Bosnia And Herzegovina,4.91
12,,Brazil,6.77
13,,Bulgaria,4.97
14,,Cambodia,14.14
15,,Canada,9.48
16,,Chile,9.00
17,,China,21.43
18,,Colombia,3.69
19,,Costa Rica,6.57
20,,Croatia,7.73
21,,Cyprus,9.15
22,,Czech Republic,7.17
23,,Denmark,11.11
24,,Dominican Republic,8.62
25,,Ecuador,5.56
26,,Egypt,3.77
27,,Estonia,6.40
28,,Finland,7.17
29,,France,14.98
30,,Georgia,3.53
31,,Germany,9.40
32,,Greece,8.47
33,,Guatemala,-
34,,Hong Kong,21.67
35,,Hungary,5.72
36,,Iceland,11.54
37,,India,4.50
38,,Indonesia,8.01
39,,Iran,4.10
40,,Iraq,7.22
41,,Ireland,11.04
42,,Israel,11.44
43,,Italy,12.31
44,,Jamaica,6.86
45,,Japan,15.40
46,,Jordan,6.84
47,,Kazakhstan,7.52
48,,Kenya,6.53
49,,Kuwait,7.93
50,,Latvia,6.72
51,,Lebanon,8.92
52,,Lithuania,7.07
53,,Luxembourg,-
54,,Macedonia,4.96
55,,Malaysia,9.62
56,,Malta,9.07
57,,Mauritius,-
58,,Mexico,5.63
59,,Moldova,4.68
60,,Montenegro,5.57
61,,Morocco,8.31
62,,Nepal,7.43
63,,Netherlands,9.81
64,,New Zealand,6.98
65,,Nigeria,-
66,,Norway,11.55
67,,Oman,-
68,,Pakistan,5.16
69,,Panama,7.10
70,,Peru,6.81
71,,Philippines,5.70
72,,Poland,5.76
73,,Portugal,8.27
74,,Puerto Rico,7.16
75,,Qatar,8.83
76,,Romania,4.60
77,,Russia,7.52
78,,Saudi Arabia,6.18
79,,Serbia,4.42
80,,Singapore,17.96
81,,Slovakia,8.66
82,,Slovenia,8.67
83,,South Africa,6.81
84,,South Korea,15.38
85,,Spain,10.48
86,,Sri Lanka,11.14
87,,Sweden,9.27
88,,Switzerland,22.23
89,,Taiwan,13.28
90,,Tanzania,-
91,,Thailand,14.16
92,,Trinidad And Tobago,-
93,,Tunisia,7.87
94,,Turkey,6.12
95,,Ukraine,4.43
96,,United Arab Emirates,8.24
97,,United Kingdom,8.98
98,,United States,10.90
99,,Uruguay,10.91
100,,Venezuela,9.74
101,,Vietnam,9.61
102,,Zimbabwe,11.59
