,Rank,City,One-way Ticket (Local Transport)
0,,Albania,0.29
1,,Algeria,0.25
2,,Argentina,0.50
3,,Armenia,0.24
4,,Australia,3.70
5,,Austria,2.99
6,,Azerbaijan,0.25
7,,Bahrain,0.53
8,,Bangladesh,0.29
9,,Belarus,0.37
10,,Belgium,2.72
11,,Bosnia And Herzegovina,1.11
12,,Brazil,1.34
13,,Bulgaria,0.70
14,,Cambodia,1.50
15,,Canada,2.76
16,,Chile,1.20
17,,China,0.32
18,,Colombia,0.90
19,,Costa Rica,0.81
20,,Croatia,1.80
21,,Cyprus,2.04
22,,Czech Republic,1.19
23,,Denmark,3.65
24,,Dominican Republic,0.58
25,,Ecuador,0.25
26,,Egypt,0.21
27,,Estonia,2.18
28,,Finland,4.08
29,,France,2.18
30,,Georgia,0.28
31,,Germany,3.40
32,,Greece,1.63
33,,Hong Kong,1.16
34,,Hungary,1.57
35,,Iceland,3.09
36,,India,0.25
37,,Indonesia,0.30
38,,Iran,0.20
39,,Iraq,0.43
40,,Ireland,3.23
41,,Israel,1.98
42,,Italy,2.04
43,,Jamaica,1.08
44,,Japan,1.96
45,,Jordan,0.74
46,,Kazakhstan,0.44
47,,Kenya,0.57
48,,Kuwait,0.89
49,,Latvia,0.88
50,,Lebanon,1.33
51,,Lithuania,1.19
52,,Luxembourg,2.72
53,,Macedonia,0.77
54,,Malaysia,0.62
55,,Malta,2.04
56,,Mexico,0.54
57,,Morocco,0.61
58,,Nepal,0.17
59,,Netherlands,3.54
60,,New Zealand,2.96
61,,Nigeria,0.61
62,,Norway,6.51
63,,Oman,0.52
64,,Pakistan,0.20
65,,Panama,0.25
66,,Peru,0.54
67,,Philippines,0.19
68,,Poland,1.12
69,,Portugal,2.04
70,,Puerto Rico,1.50
71,,Qatar,2.75
72,,Romania,0.62
73,,Russia,0.63
74,,Saudi Arabia,0.53
75,,Serbia,0.85
76,,Singapore,1.27
77,,Slovakia,0.95
78,,Slovenia,1.63
79,,South Africa,0.94
80,,South Korea,1.07
81,,Spain,2.01
82,,Sri Lanka,0.23
83,,Sweden,3.74
84,,Switzerland,3.90
85,,Taiwan,0.67
86,,Thailand,0.64
87,,Trinidad And Tobago,0.62
88,,Tunisia,0.57
89,,Turkey,0.95
90,,Ukraine,0.25
91,,United Arab Emirates,1.18
92,,United Kingdom,3.68
93,,United States,2.00
94,,Uruguay,0.95
95,,Venezuela,0.75
96,,Vietnam,0.33
