,Rank,City,Eggs (regular) (12)
0,,Albania,1.65
1,,Algeria,1.61
2,,Argentina,2.30
3,,Armenia,2.08
4,,Australia,4.14
5,,Austria,3.72
6,,Azerbaijan,1.87
7,,Bahrain,2.36
8,,Bangladesh,1.21
9,,Belarus,1.69
10,,Belgium,3.19
11,,Bosnia And Herzegovina,2.01
12,,Brazil,1.93
13,,Bulgaria,1.94
14,,Cambodia,1.55
15,,Canada,3.07
16,,Chile,2.96
17,,China,1.86
18,,Colombia,1.90
19,,Costa Rica,2.68
20,,Croatia,2.70
21,,Cyprus,3.74
22,,Czech Republic,1.82
23,,Denmark,4.43
24,,Dominican Republic,1.66
25,,Ecuador,1.72
26,,Egypt,1.61
27,,Estonia,1.67
28,,Finland,2.84
29,,France,3.71
30,,Georgia,1.96
31,,Germany,2.40
32,,Greece,4.02
33,,Hong Kong,2.82
34,,Hungary,2.10
35,,Iceland,4.77
36,,India,0.91
37,,Indonesia,1.49
38,,Iran,1.57
39,,Iraq,1.92
40,,Ireland,3.41
41,,Israel,3.69
42,,Italy,3.57
43,,Jamaica,2.86
44,,Japan,2.25
45,,Jordan,2.37
46,,Kazakhstan,1.53
47,,Kenya,1.99
48,,Kuwait,1.99
49,,Latvia,2.05
50,,Lebanon,2.91
51,,Lithuania,1.85
52,,Luxembourg,4.44
53,,Macedonia,1.80
54,,Malaysia,1.44
55,,Malta,2.76
56,,Mexico,2.02
57,,Morocco,1.46
58,,Nepal,1.45
59,,Netherlands,2.63
60,,New Zealand,3.73
61,,Nigeria,2.05
62,,Norway,5.46
63,,Oman,2.44
64,,Pakistan,1.10
65,,Panama,2.11
66,,Peru,1.93
67,,Philippines,1.55
68,,Poland,2.15
69,,Portugal,2.27
70,,Puerto Rico,2.73
71,,Qatar,2.91
72,,Romania,2.18
73,,Russia,1.76
74,,Saudi Arabia,2.16
75,,Serbia,1.78
76,,Singapore,2.17
77,,Slovakia,2.38
78,,Slovenia,2.88
79,,South Africa,2.00
80,,South Korea,2.80
81,,Spain,2.25
82,,Sri Lanka,1.48
83,,Sweden,3.68
84,,Switzerland,5.72
85,,Taiwan,2.19
86,,Thailand,1.65
87,,Trinidad And Tobago,2.84
88,,Tunisia,1.31
89,,Turkey,2.35
90,,Ukraine,1.15
91,,United Arab Emirates,2.73
92,,United Kingdom,3.59
93,,United States,2.41
94,,Uruguay,2.31
95,,Venezuela,6.88
96,,Vietnam,1.31
