,Rank,City,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
0,,Albania,6.09
1,,Algeria,5.68
2,,Argentina,25.74
3,,Armenia,12.32
4,,Australia,4.38
5,,Austria,2.17
6,,Azerbaijan,9.58
7,,Bahrain,6.44
8,,Bangladesh,11.15
9,,Belarus,18.20
10,,Belgium,2.34
11,,Bolivia,6.50
12,,Bosnia And Herzegovina,5.72
13,,Brazil,11.91
14,,Bulgaria,4.65
15,,Cambodia,10.00
16,,Canada,2.90
17,,Chile,4.36
18,,China,5.01
19,,Colombia,12.50
20,,Costa Rica,9.26
21,,Croatia,5.03
22,,Cyprus,4.15
23,,Czech Republic,2.00
24,,Denmark,2.13
25,,Dominican Republic,12.96
26,,Ecuador,10.90
27,,Egypt,15.85
28,,Estonia,2.26
29,,Finland,1.34
30,,France,1.82
31,,Georgia,11.12
32,,Germany,1.98
33,,Greece,4.50
34,,Guatemala,8.11
35,,Hong Kong,2.32
36,,Hungary,4.77
37,,Iceland,6.35
38,,India,9.64
39,,Indonesia,8.36
40,,Iran,18.58
41,,Iraq,12.08
42,,Ireland,3.79
43,,Israel,3.41
44,,Italy,2.38
45,,Jamaica,9.60
46,,Japan,1.08
47,,Jordan,7.59
48,,Kazakhstan,17.69
49,,Kenya,14.50
50,,Kosovo (Disputed Territory),5.89
51,,Kuwait,5.32
52,,Latvia,2.78
53,,Lebanon,5.25
54,,Lithuania,2.01
55,,Luxembourg,1.98
56,,Macedonia,6.44
57,,Malaysia,4.55
58,,Malta,3.76
59,,Mauritius,7.25
60,,Mexico,11.23
61,,Moldova,12.29
62,,Montenegro,5.68
63,,Morocco,5.94
64,,Nepal,11.86
65,,Netherlands,2.38
66,,New Zealand,4.84
67,,Nigeria,20.67
68,,Norway,2.50
69,,Oman,5.17
70,,Pakistan,11.57
71,,Panama,5.01
72,,Peru,9.42
73,,Philippines,7.44
74,,Poland,3.72
75,,Portugal,2.51
76,,Puerto Rico,4.17
77,,Qatar,4.89
78,,Romania,4.06
79,,Russia,12.21
80,,Saudi Arabia,3.38
81,,Serbia,3.90
82,,Singapore,2.30
83,,Slovakia,1.73
84,,Slovenia,3.09
85,,South Africa,10.53
86,,South Korea,3.59
87,,Spain,2.26
88,,Sri Lanka,14.13
89,,Sweden,1.81
90,,Switzerland,1.33
91,,Taiwan,2.04
92,,Tanzania,-
93,,Thailand,5.40
94,,Trinidad And Tobago,-
95,,Tunisia,6.77
96,,Turkey,12.65
97,,Ukraine,21.16
98,,United Arab Emirates,4.08
99,,United Kingdom,3.09
100,,United States,3.96
101,,Uruguay,8.37
102,,Venezuela,-
103,,Vietnam,8.72
104,,Zimbabwe,16.00
