,Rank,City,Cigarettes 20 Pack (Marlboro)
0,,Albania,2.92
1,,Algeria,2.09
2,,Argentina,2.07
3,,Armenia,-
4,,Australia,21.52
5,,Austria,6.16
6,,Azerbaijan,2.35
7,,Bahrain,5.50
8,,Bangladesh,2.84
9,,Belarus,1.65
10,,Belgium,7.50
11,,Bolivia,-
12,,Bosnia And Herzegovina,3.25
13,,Brazil,2.55
14,,Brunei,-
15,,Bulgaria,3.20
16,,Cambodia,1.50
17,,Canada,11.09
18,,Chile,5.64
19,,China,2.90
20,,Colombia,1.91
21,,Costa Rica,3.75
22,,Croatia,4.51
23,,Cyprus,5.04
24,,Czech Republic,4.54
25,,Denmark,6.73
26,,Dominican Republic,4.15
27,,Ecuador,5.00
28,,Egypt,2.39
29,,El Salvador,-
30,,Estonia,5.04
31,,Ethiopia,-
32,,Finland,8.62
33,,France,9.85
34,,Georgia,1.97
35,,Germany,7.61
36,,Greece,5.04
37,,Guatemala,-
38,,Honduras,-
39,,Hong Kong,7.59
40,,Hungary,4.47
41,,Iceland,11.32
42,,India,4.31
43,,Indonesia,1.75
44,,Iran,3.14
45,,Iraq,1.68
46,,Ireland,14.55
47,,Israel,9.65
48,,Italy,6.16
49,,Jamaica,-
50,,Japan,4.66
51,,Jordan,3.53
52,,Kazakhstan,1.12
53,,Kenya,2.47
54,,Kosovo (Disputed Territory),3.02
55,,Kuwait,-
56,,Latvia,4.37
57,,Lebanon,2.50
58,,Lithuania,4.37
59,,Luxembourg,-
60,,Macedonia,2.53
61,,Malaysia,4.15
62,,Malta,6.72
63,,Mauritius,-
64,,Mexico,2.80
65,,Moldova,1.76
66,,Montenegro,3.36
67,,Morocco,3.60
68,,Namibia,-
69,,Nepal,2.24
70,,Netherlands,7.84
71,,New Zealand,19.77
72,,Nigeria,-
73,,Norway,13.71
74,,Oman,5.72
75,,Pakistan,1.29
76,,Palestinian Territory,6.89
77,,Panama,5.35
78,,Peru,4.45
79,,Philippines,1.92
80,,Poland,4.17
81,,Portugal,5.60
82,,Puerto Rico,-
83,,Qatar,6.04
84,,Romania,4.35
85,,Russia,2.29
86,,Saudi Arabia,6.67
87,,Serbia,3.03
88,,Singapore,10.41
89,,Slovakia,4.37
90,,Slovenia,4.70
91,,South Africa,2.74
92,,South Korea,3.78
93,,Spain,5.60
94,,Sri Lanka,7.65
95,,Sweden,6.84
96,,Switzerland,8.40
97,,Taiwan,3.81
98,,Thailand,4.45
99,,Trinidad And Tobago,-
100,,Tunisia,2.34
101,,Turkey,2.57
102,,Uganda,-
103,,Ukraine,1.67
104,,United Arab Emirates,5.72
105,,United Kingdom,13.90
106,,United States,7.50
107,,Uruguay,4.26
108,,Uzbekistan,-
109,,Venezuela,-
110,,Vietnam,1.07
