,Rank,City,Apples (1kg)
0,,Albania,0.96
1,,Algeria,2.12
2,,Argentina,1.42
3,,Armenia,-
4,,Australia,3.08
5,,Austria,2.40
6,,Azerbaijan,0.92
7,,Bahrain,2.56
8,,Bangladesh,2.14
9,,Belarus,1.02
10,,Belgium,2.45
11,,Bolivia,2.40
12,,Bosnia And Herzegovina,1.01
13,,Brazil,1.55
14,,Brunei,-
15,,Bulgaria,1.09
16,,Cambodia,3.76
17,,Canada,2.97
18,,Chile,1.64
19,,China,2.03
20,,Colombia,1.98
21,,Costa Rica,3.77
22,,Croatia,1.17
23,,Cyprus,2.01
24,,Czech Republic,1.32
25,,Denmark,2.82
26,,Dominican Republic,2.40
27,,Ecuador,2.05
28,,Egypt,1.37
29,,El Salvador,-
30,,Estonia,1.28
31,,Ethiopia,4.26
32,,Finland,2.04
33,,France,3.00
34,,Georgia,0.93
35,,Germany,2.55
36,,Greece,1.51
37,,Guatemala,-
38,,Honduras,2.68
39,,Hong Kong,3.58
40,,Hungary,1.09
41,,Iceland,-
42,,India,2.01
43,,Indonesia,2.22
44,,Iran,1.38
45,,Iraq,1.16
46,,Ireland,2.56
47,,Israel,2.78
48,,Italy,1.96
49,,Jamaica,-
50,,Japan,6.88
51,,Jordan,1.90
52,,Kazakhstan,1.24
53,,Kenya,2.24
54,,Kosovo (Disputed Territory),1.23
55,,Kuwait,1.97
56,,Latvia,1.04
57,,Lebanon,1.85
58,,Lithuania,0.90
59,,Luxembourg,2.80
60,,Macedonia,0.74
61,,Malaysia,2.19
62,,Malta,3.09
63,,Mauritius,-
64,,Mexico,2.08
65,,Moldova,0.67
66,,Montenegro,0.85
67,,Morocco,1.28
68,,Namibia,-
69,,Nepal,2.00
70,,Netherlands,2.57
71,,New Zealand,2.32
72,,Nigeria,3.02
73,,Norway,3.21
74,,Oman,2.37
75,,Pakistan,1.11
76,,Palestinian Territory,1.79
77,,Panama,3.33
78,,Peru,1.52
79,,Philippines,2.18
80,,Poland,0.78
81,,Portugal,1.71
82,,Puerto Rico,7.38
83,,Qatar,1.95
84,,Romania,0.85
85,,Russia,1.33
86,,Saudi Arabia,1.88
87,,Serbia,0.77
88,,Singapore,3.36
89,,Slovakia,1.48
90,,Slovenia,1.53
91,,South Africa,1.62
92,,South Korea,6.84
93,,Spain,1.81
94,,Sri Lanka,1.95
95,,Sweden,2.66
96,,Switzerland,3.90
97,,Taiwan,4.44
98,,Thailand,2.52
99,,Trinidad And Tobago,-
100,,Tunisia,1.23
101,,Turkey,0.86
102,,Uganda,-
103,,Ukraine,0.54
104,,United Arab Emirates,2.15
105,,United Kingdom,2.16
106,,United States,4.46
107,,Uruguay,1.71
108,,Uzbekistan,1.10
109,,Venezuela,5.17
110,,Vietnam,2.79
