,Rank,City,Loaf of Fresh White Bread (500g)
0,,Albania,0.63
1,,Argentina,1.51
2,,Australia,2.81
3,,Austria,1.60
4,,Bahrain,0.85
5,,Bangladesh,0.72
6,,Belarus,0.50
7,,Belgium,2.07
8,,Bosnia And Herzegovina,0.69
9,,Brazil,1.80
10,,Bulgaria,0.57
11,,Cambodia,0.92
12,,Canada,2.55
13,,Chile,1.40
14,,China,1.60
15,,Colombia,1.45
16,,Costa Rica,1.72
17,,Croatia,0.96
18,,Cyprus,2.16
19,,Czech Republic,0.89
20,,Denmark,2.82
21,,Dominican Republic,1.45
22,,Ecuador,1.37
23,,Egypt,0.99
24,,Estonia,0.87
25,,Finland,2.70
26,,France,1.65
27,,Georgia,0.77
28,,Germany,1.61
29,,Greece,1.04
30,,Hong Kong,1.42
31,,Hungary,0.80
32,,Iceland,2.02
33,,India,0.38
34,,Indonesia,1.03
35,,Iran,0.54
36,,Iraq,1.25
37,,Ireland,1.87
38,,Israel,1.63
39,,Italy,1.89
40,,Japan,2.44
41,,Jordan,0.60
42,,Kazakhstan,0.43
43,,Kenya,0.58
44,,Kuwait,0.87
45,,Latvia,0.83
46,,Lebanon,0.84
47,,Lithuania,1.08
48,,Luxembourg,2.18
49,,Macedonia,0.52
50,,Malaysia,0.97
51,,Malta,0.92
52,,Mauritius,0.63
53,,Mexico,1.59
54,,Morocco,0.68
55,,Nepal,0.44
56,,Netherlands,1.55
57,,New Zealand,2.00
58,,Nigeria,1.59
59,,Norway,3.65
60,,Oman,1.12
61,,Pakistan,0.56
62,,Peru,1.64
63,,Philippines,1.21
64,,Poland,0.72
65,,Portugal,1.24
66,,Puerto Rico,2.30
67,,Qatar,1.33
68,,Romania,0.62
69,,Russia,0.67
70,,Saudi Arabia,0.83
71,,Serbia,0.53
72,,Singapore,1.59
73,,Slovakia,0.93
74,,Slovenia,1.44
75,,South Africa,1.13
76,,South Korea,1.90
77,,Spain,1.21
78,,Sri Lanka,0.83
79,,Sweden,2.83
80,,Switzerland,2.62
81,,Taiwan,1.21
82,,Tanzania,0.81
83,,Thailand,1.26
84,,Tunisia,0.33
85,,Turkey,0.57
86,,Ukraine,0.48
87,,United Arab Emirates,1.07
88,,United Kingdom,1.58
89,,United States,2.29
90,,Uruguay,1.42
91,,Venezuela,1.88
92,,Vietnam,1.12
