,Rank,City,Water (1.5 liter bottle)
0,,Albania,0.49
1,,Algeria,0.26
2,,Argentina,1.14
3,,Armenia,-
4,,Australia,1.65
5,,Austria,0.62
6,,Azerbaijan,0.51
7,,Bahrain,0.74
8,,Bangladesh,0.31
9,,Belarus,0.70
10,,Belgium,1.02
11,,Bolivia,1.22
12,,Bosnia And Herzegovina,0.60
13,,Brazil,0.74
14,,Brunei,-
15,,Bulgaria,0.58
16,,Cambodia,0.77
17,,Canada,1.67
18,,Chile,1.23
19,,China,0.67
20,,Colombia,0.85
21,,Costa Rica,2.31
22,,Croatia,1.05
23,,Cyprus,0.76
24,,Czech Republic,0.57
25,,Denmark,1.49
26,,Dominican Republic,0.75
27,,Ecuador,1.04
28,,Egypt,0.30
29,,El Salvador,-
30,,Estonia,0.74
31,,Ethiopia,0.57
32,,Finland,1.49
33,,France,0.88
34,,Georgia,0.42
35,,Germany,0.59
36,,Greece,0.86
37,,Guatemala,-
38,,Honduras,-
39,,Hong Kong,1.58
40,,Hungary,0.39
41,,Iceland,2.06
42,,India,0.41
43,,Indonesia,0.44
44,,Iran,0.43
45,,Iraq,0.50
46,,Ireland,1.48
47,,Israel,1.04
48,,Italy,0.44
49,,Jamaica,-
50,,Japan,1.05
51,,Jordan,0.56
52,,Kazakhstan,0.52
53,,Kenya,1.14
54,,Kosovo (Disputed Territory),0.44
55,,Kuwait,0.51
56,,Latvia,0.63
57,,Lebanon,0.79
58,,Lithuania,0.75
59,,Luxembourg,0.87
60,,Macedonia,0.44
61,,Malaysia,0.52
62,,Malta,1.29
63,,Mauritius,0.55
64,,Mexico,0.77
65,,Moldova,0.66
66,,Montenegro,0.69
67,,Morocco,0.61
68,,Namibia,-
69,,Nepal,0.32
70,,Netherlands,1.00
71,,New Zealand,1.25
72,,Nigeria,0.53
73,,Norway,2.15
74,,Oman,0.63
75,,Pakistan,0.38
76,,Palestinian Territory,0.83
77,,Panama,1.58
78,,Peru,0.89
79,,Philippines,0.80
80,,Poland,0.50
81,,Portugal,0.65
82,,Puerto Rico,-
83,,Qatar,0.56
84,,Romania,0.57
85,,Russia,0.57
86,,Saudi Arabia,0.57
87,,Serbia,0.50
88,,Singapore,1.19
89,,Slovakia,0.68
90,,Slovenia,0.80
91,,South Africa,1.08
92,,South Korea,1.07
93,,Spain,0.65
94,,Sri Lanka,0.49
95,,Sweden,1.47
96,,Switzerland,1.10
97,,Taiwan,1.17
98,,Thailand,0.52
99,,Trinidad And Tobago,-
100,,Tunisia,0.23
101,,Turkey,0.34
102,,Uganda,0.73
103,,Ukraine,0.46
104,,United Arab Emirates,0.62
105,,United Kingdom,1.13
106,,United States,1.83
107,,Uruguay,1.32
108,,Uzbekistan,0.26
109,,Venezuela,0.79
110,,Vietnam,0.52
