,Rank,City,Banana (1kg)
0,,Albania,1.30
1,,Algeria,1.59
2,,Argentina,1.81
3,,Armenia,1.85
4,,Australia,2.54
5,,Austria,2.06
6,,Azerbaijan,2.33
7,,Bahrain,1.74
8,,Bangladesh,0.90
9,,Belarus,1.26
10,,Belgium,1.83
11,,Bosnia And Herzegovina,1.19
12,,Brazil,1.12
13,,Bulgaria,1.38
14,,Cambodia,0.89
15,,Canada,1.38
16,,Chile,1.11
17,,China,1.53
18,,Colombia,0.84
19,,Costa Rica,1.17
20,,Croatia,1.53
21,,Cyprus,1.48
22,,Czech Republic,1.20
23,,Denmark,2.83
24,,Dominican Republic,1.06
25,,Ecuador,0.97
26,,Egypt,1.02
27,,Estonia,1.26
28,,Finland,1.81
29,,France,2.03
30,,Georgia,1.53
31,,Germany,1.86
32,,Greece,1.68
33,,Guatemala,-
34,,Hong Kong,1.52
35,,Hungary,1.35
36,,Iceland,2.69
37,,India,0.69
38,,Indonesia,1.40
39,,Iran,1.35
40,,Iraq,1.23
41,,Ireland,1.68
42,,Israel,1.96
43,,Italy,1.85
44,,Jamaica,2.08
45,,Japan,2.87
46,,Jordan,1.44
47,,Kazakhstan,1.93
48,,Kenya,1.66
49,,Kuwait,1.61
50,,Latvia,1.53
51,,Lebanon,1.59
52,,Lithuania,1.44
53,,Luxembourg,-
54,,Macedonia,0.96
55,,Malaysia,1.42
56,,Malta,1.65
57,,Mauritius,-
58,,Mexico,0.89
59,,Moldova,1.29
60,,Montenegro,1.08
61,,Morocco,1.05
62,,Nepal,0.87
63,,Netherlands,1.52
64,,New Zealand,2.27
65,,Nigeria,1.73
66,,Norway,2.52
67,,Oman,1.85
68,,Pakistan,0.82
69,,Panama,-
70,,Peru,0.90
71,,Philippines,1.29
72,,Poland,1.15
73,,Portugal,1.13
74,,Puerto Rico,1.57
75,,Qatar,1.57
76,,Romania,1.25
77,,Russia,1.25
78,,Saudi Arabia,1.44
79,,Serbia,1.15
80,,Singapore,2.33
81,,Slovakia,1.50
82,,Slovenia,1.24
83,,South Africa,1.11
84,,South Korea,3.79
85,,Spain,1.66
86,,Sri Lanka,0.80
87,,Sweden,2.50
88,,Switzerland,3.07
89,,Taiwan,1.66
90,,Tanzania,0.89
91,,Thailand,1.11
92,,Trinidad And Tobago,2.02
93,,Tunisia,1.47
94,,Turkey,2.01
95,,Ukraine,1.41
96,,United Arab Emirates,1.81
97,,United Kingdom,1.60
98,,United States,1.68
99,,Uruguay,2.63
100,,Venezuela,2.86
101,,Vietnam,0.84
102,,Zimbabwe,1.32
