,Rank,City,Water (0.33 liter bottle)
0,,Albania,0.60
1,,Algeria,0.20
2,,Argentina,0.82
3,,Armenia,0.36
4,,Australia,1.86
5,,Austria,2.38
6,,Azerbaijan,0.21
7,,Bahrain,0.30
8,,Bangladesh,0.19
9,,Belarus,0.45
10,,Belgium,2.28
11,,Bolivia,0.76
12,,Bosnia And Herzegovina,0.78
13,,Brazil,0.52
14,,Bulgaria,0.66
15,,Cambodia,0.40
16,,Canada,1.34
17,,Chile,0.99
18,,China,0.30
19,,Colombia,0.57
20,,Costa Rica,1.41
21,,Croatia,1.61
22,,Cyprus,0.71
23,,Czech Republic,1.11
24,,Denmark,2.81
25,,Dominican Republic,0.62
26,,Ecuador,0.60
27,,Egypt,0.22
28,,Estonia,1.60
29,,Finland,1.68
30,,France,2.01
31,,Georgia,0.29
32,,Germany,2.32
33,,Ghana,0.26
34,,Greece,0.56
35,,Guatemala,0.61
36,,Hong Kong,0.99
37,,Hungary,0.96
38,,Iceland,1.84
39,,India,0.20
40,,Indonesia,0.28
41,,Iran,0.42
42,,Iraq,0.22
43,,Ireland,1.63
44,,Israel,2.09
45,,Italy,1.21
46,,Japan,1.01
47,,Jordan,0.43
48,,Kazakhstan,0.41
49,,Kenya,0.48
50,,Kosovo (Disputed Territory),0.63
51,,Kuwait,0.39
52,,Latvia,1.10
53,,Lebanon,0.63
54,,Lithuania,1.44
55,,Luxembourg,2.87
56,,Malaysia,0.33
57,,Malta,1.46
58,,Mauritius,0.65
59,,Mexico,0.53
60,,Moldova,0.44
61,,Montenegro,1.32
62,,Morocco,0.36
63,,Nepal,0.20
64,,Netherlands,2.24
65,,New Zealand,2.09
66,,Nigeria,0.23
67,,North Macedonia,0.87
68,,Norway,2.79
69,,Oman,0.33
70,,Pakistan,0.21
71,,Panama,1.16
72,,Peru,0.57
73,,Philippines,0.39
74,,Poland,0.89
75,,Portugal,1.13
76,,Puerto Rico,1.13
77,,Qatar,0.34
78,,Romania,1.13
79,,Russia,0.47
80,,Saudi Arabia,0.25
81,,Serbia,0.98
82,,Singapore,1.00
83,,Slovakia,1.25
84,,Slovenia,1.73
85,,South Africa,0.63
86,,South Korea,0.70
87,,Spain,1.39
88,,Sri Lanka,0.24
89,,Sweden,1.93
90,,Switzerland,3.87
91,,Syria,0.42
92,,Taiwan,0.68
93,,Tanzania,0.38
94,,Thailand,0.31
95,,Trinidad And Tobago,0.76
96,,Tunisia,0.22
97,,Turkey,0.24
98,,Uganda,0.28
99,,Ukraine,0.39
100,,United Arab Emirates,0.42
101,,United Kingdom,1.23
102,,United States,1.57
103,,Uruguay,1.32
104,,Uzbekistan,0.28
105,,Venezuela,0.86
106,,Vietnam,0.33
