,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.22
1,,Algeria,1.85
2,,Argentina,2.47
3,,Armenia,1.29
4,,Australia,4.15
5,,Austria,1.77
6,,Azerbaijan,1.52
7,,Bahamas,-
8,,Bahrain,5.31
9,,Bangladesh,-
10,,Belarus,1.89
11,,Belgium,1.87
12,,Belize,-
13,,Bolivia,-
14,,Bosnia And Herzegovina,1.01
15,,Brazil,3.05
16,,Bulgaria,1.17
17,,Cambodia,1.41
18,,Canada,2.47
19,,Chile,2.11
20,,China,2.06
21,,Colombia,1.79
22,,Costa Rica,3.04
23,,Croatia,1.72
24,,Cyprus,1.66
25,,Czech Republic,1.32
26,,Denmark,2.40
27,,Dominican Republic,3.39
28,,Ecuador,2.03
29,,Egypt,1.72
30,,El Salvador,-
31,,Estonia,1.71
32,,Fiji,-
33,,Finland,3.01
34,,France,2.26
35,,Georgia,1.48
36,,Germany,1.37
37,,Ghana,-
38,,Greece,1.79
39,,Guatemala,-
40,,Hong Kong,2.25
41,,Hungary,1.15
42,,Iceland,3.14
43,,India,2.64
44,,Indonesia,2.82
45,,Iran,1.18
46,,Iraq,1.51
47,,Ireland,2.81
48,,Israel,3.11
49,,Italy,1.82
50,,Jamaica,-
51,,Japan,3.05
52,,Jordan,6.80
53,,Kazakhstan,1.37
54,,Kenya,2.08
55,,Kosovo (Disputed Territory),1.06
56,,Kuwait,-
57,,Latvia,1.53
58,,Lebanon,1.87
59,,Lithuania,1.64
60,,Luxembourg,-
61,,Macedonia,1.03
62,,Malaysia,2.56
63,,Malta,2.06
64,,Mauritius,-
65,,Mexico,1.91
66,,Moldova,1.41
67,,Montenegro,1.26
68,,Morocco,2.21
69,,Namibia,-
70,,Nepal,2.73
71,,Netherlands,1.97
72,,New Zealand,3.44
73,,Nigeria,1.25
74,,Norway,4.40
75,,Oman,-
76,,Pakistan,3.56
77,,Panama,2.45
78,,Peru,3.33
79,,Philippines,1.58
80,,Poland,1.19
81,,Portugal,1.95
82,,Puerto Rico,2.56
83,,Qatar,10.30
84,,Romania,1.25
85,,Russia,1.80
86,,Saudi Arabia,1.32
87,,Serbia,1.13
88,,Singapore,3.69
89,,Slovakia,1.32
90,,Slovenia,1.88
91,,South Africa,1.97
92,,South Korea,2.99
93,,Spain,1.56
94,,Sri Lanka,2.34
95,,Sweden,1.98
96,,Switzerland,2.24
97,,Taiwan,2.17
98,,Tanzania,1.46
99,,Thailand,2.78
100,,Trinidad And Tobago,-
101,,Tunisia,0.94
102,,Turkey,2.45
103,,Uganda,-
104,,Ukraine,1.21
105,,United Arab Emirates,4.48
106,,United Kingdom,2.42
107,,United States,2.84
108,,Uruguay,2.68
109,,Uzbekistan,-
110,,Venezuela,2.58
111,,Vietnam,1.50
112,,Zimbabwe,2.24
