,Rank,City,Taxi Start (Normal Tariff)
0,,Albania,2.10
1,,Algeria,0.46
2,,Argentina,1.57
3,,Armenia,1.25
4,,Australia,3.01
5,,Austria,4.48
6,,Azerbaijan,1.03
7,,Bahrain,5.30
8,,Bangladesh,0.62
9,,Belarus,2.00
10,,Belgium,5.21
11,,Bolivia,1.15
12,,Bosnia And Herzegovina,1.14
13,,Brazil,1.52
14,,Bulgaria,0.46
15,,Cambodia,1.00
16,,Canada,2.60
17,,Chile,0.45
18,,China,1.62
19,,Colombia,1.54
20,,Costa Rica,1.14
21,,Croatia,2.27
22,,Cyprus,5.04
23,,Czech Republic,1.71
24,,Denmark,6.02
25,,Dominican Republic,3.18
26,,Ecuador,1.50
27,,Egypt,0.28
28,,Estonia,2.80
29,,Finland,6.72
30,,France,5.60
31,,Georgia,1.24
32,,Germany,3.92
33,,Greece,3.81
34,,Guatemala,3.41
35,,Hong Kong,3.08
36,,Hungary,1.64
37,,Iceland,6.99
38,,India,0.76
39,,Indonesia,0.53
40,,Iran,0.31
41,,Iraq,2.56
42,,Ireland,4.48
43,,Israel,3.33
44,,Italy,5.60
45,,Jamaica,-
46,,Japan,5.35
47,,Jordan,0.35
48,,Kazakhstan,0.95
49,,Kenya,2.90
50,,Kosovo (Disputed Territory),1.68
51,,Kuwait,3.29
52,,Latvia,1.29
53,,Lebanon,6.62
54,,Lithuania,1.00
55,,Luxembourg,2.91
56,,Macedonia,0.73
57,,Malaysia,0.70
58,,Malta,15.11
59,,Mauritius,3.17
60,,Mexico,1.65
61,,Moldova,1.65
62,,Montenegro,1.12
63,,Morocco,0.69
64,,Nepal,1.70
65,,Netherlands,3.97
66,,New Zealand,2.52
67,,Nigeria,1.59
68,,Norway,11.59
69,,Oman,2.60
70,,Pakistan,0.96
71,,Panama,1.50
72,,Peru,1.84
73,,Philippines,0.81
74,,Poland,1.87
75,,Portugal,3.86
76,,Puerto Rico,-
77,,Qatar,2.73
78,,Romania,0.41
79,,Russia,1.75
80,,Saudi Arabia,2.67
81,,Serbia,1.55
82,,Singapore,2.53
83,,Slovakia,3.36
84,,Slovenia,1.12
85,,South Africa,1.16
86,,South Korea,2.67
87,,Spain,3.36
88,,Sri Lanka,0.33
89,,Sweden,5.62
90,,Switzerland,6.71
91,,Taiwan,2.66
92,,Tanzania,-
93,,Thailand,1.03
94,,Trinidad And Tobago,-
95,,Tunisia,0.19
96,,Turkey,1.02
97,,Ukraine,1.15
98,,United Arab Emirates,2.72
99,,United Kingdom,3.82
100,,United States,3.00
101,,Uruguay,1.33
102,,Venezuela,1.20
103,,Vietnam,0.53
104,,Zimbabwe,-
