,Rank,City,Tennis Court Rent (1 Hour on Weekend)
0,,Albania,4.75
1,,Algeria,15.46
2,,Argentina,20.00
3,,Armenia,12.46
4,,Australia,15.06
5,,Austria,21.48
6,,Azerbaijan,15.83
7,,Bahrain,30.92
8,,Bangladesh,7.75
9,,Belarus,16.46
10,,Belgium,15.27
11,,Bolivia,9.51
12,,Bosnia And Herzegovina,8.70
13,,Brazil,29.71
14,,Bulgaria,11.18
15,,Cambodia,-
16,,Canada,14.45
17,,Chile,18.70
18,,China,10.17
19,,Colombia,12.71
20,,Costa Rica,13.92
21,,Croatia,9.79
22,,Cyprus,-
23,,Czech Republic,10.88
24,,Denmark,24.65
25,,Dominican Republic,12.00
26,,Ecuador,14.38
27,,Egypt,6.32
28,,Estonia,24.73
29,,Finland,26.00
30,,France,16.23
31,,Georgia,9.45
32,,Germany,20.88
33,,Greece,16.21
34,,Guatemala,-
35,,Hong Kong,9.20
36,,Hungary,12.03
37,,Iceland,-
38,,India,7.03
39,,Indonesia,7.24
40,,Iran,19.88
41,,Iraq,17.69
42,,Ireland,14.62
43,,Israel,19.36
44,,Italy,19.25
45,,Jamaica,-
46,,Japan,18.13
47,,Jordan,23.29
48,,Kazakhstan,16.53
49,,Kenya,5.03
50,,Kosovo (Disputed Territory),5.28
51,,Kuwait,-
52,,Latvia,20.58
53,,Lebanon,22.10
54,,Lithuania,20.45
55,,Luxembourg,27.54
56,,Macedonia,8.21
57,,Malaysia,6.05
58,,Malta,-
59,,Mauritius,-
60,,Mexico,11.69
61,,Moldova,8.50
62,,Montenegro,10.72
63,,Morocco,12.36
64,,Nepal,11.36
65,,Netherlands,18.43
66,,New Zealand,10.37
67,,Nigeria,-
68,,Norway,32.76
69,,Oman,28.58
70,,Pakistan,7.08
71,,Panama,-
72,,Peru,-
73,,Philippines,5.10
74,,Poland,13.11
75,,Portugal,13.37
76,,Puerto Rico,-
77,,Qatar,25.38
78,,Romania,11.84
79,,Russia,18.14
80,,Saudi Arabia,31.74
81,,Serbia,8.64
82,,Singapore,11.97
83,,Slovakia,9.22
84,,Slovenia,14.07
85,,South Africa,8.86
86,,South Korea,11.22
87,,Spain,14.13
88,,Sri Lanka,-
89,,Sweden,24.99
90,,Switzerland,35.59
91,,Taiwan,14.62
92,,Tanzania,-
93,,Thailand,10.27
94,,Trinidad And Tobago,-
95,,Tunisia,10.90
96,,Turkey,15.98
97,,Ukraine,6.97
98,,United Arab Emirates,29.16
99,,United Kingdom,12.39
100,,United States,15.89
101,,Uruguay,21.84
102,,Venezuela,-
103,,Vietnam,10.08
104,,Zimbabwe,-
