,Rank,City,Bottle of Wine (Mid-Range)
0,,Albania,4.94
1,,Argentina,6.39
2,,Australia,14.56
3,,Austria,7.28
4,,Bahrain,30.00
5,,Bangladesh,13.74
6,,Belarus,5.00
7,,Belgium,7.41
8,,Bosnia And Herzegovina,4.93
9,,Brazil,9.85
10,,Bulgaria,4.43
11,,Cambodia,9.00
12,,Canada,14.56
13,,Chile,5.79
14,,China,12.56
15,,Colombia,11.96
16,,Costa Rica,15.00
17,,Croatia,5.74
18,,Cyprus,7.41
19,,Czech Republic,4.81
20,,Denmark,8.32
21,,Dominican Republic,4.64
22,,Ecuador,10.00
23,,Egypt,9.97
24,,Estonia,7.41
25,,Finland,12.35
26,,France,6.17
27,,Georgia,4.26
28,,Germany,6.17
29,,Greece,7.41
30,,Hong Kong,15.00
31,,Hungary,4.11
32,,Iceland,13.98
33,,India,7.11
34,,Indonesia,32.02
35,,Iran,30.00
36,,Iraq,7.44
37,,Ireland,12.03
38,,Israel,10.26
39,,Italy,6.17
40,,Japan,16.55
41,,Jordan,19.50
42,,Kazakhstan,9.01
43,,Kenya,11.81
44,,Kuwait,100.00
45,,Latvia,7.09
46,,Lebanon,11.00
47,,Lithuania,5.72
48,,Luxembourg,6.17
49,,Macedonia,4.44
50,,Malaysia,15.72
51,,Malta,4.94
52,,Mauritius,9.68
53,,Mexico,8.36
54,,Morocco,5.56
55,,Nepal,9.88
56,,Netherlands,6.17
57,,New Zealand,11.28
58,,Nigeria,12.00
59,,Norway,18.00
60,,Oman,13.00
61,,Pakistan,8.31
62,,Peru,7.57
63,,Philippines,5.76
64,,Poland,5.65
65,,Portugal,4.32
66,,Puerto Rico,10.00
67,,Qatar,21.90
68,,Romania,4.13
69,,Russia,8.98
70,,Saudi Arabia,100.00
71,,Serbia,3.70
72,,Singapore,23.26
73,,Slovakia,4.94
74,,Slovenia,6.17
75,,South Africa,5.88
76,,South Korea,13.62
77,,Spain,4.94
78,,Sri Lanka,17.51
79,,Sweden,10.94
80,,Switzerland,12.37
81,,Taiwan,11.16
82,,Tanzania,7.32
83,,Thailand,15.73
84,,Tunisia,5.86
85,,Turkey,11.29
86,,Ukraine,5.00
87,,United Arab Emirates,20.00
88,,United Kingdom,9.23
89,,United States,12.00
90,,Uruguay,7.10
91,,Venezuela,14.49
92,,Vietnam,10.65
