,Rank,City,Average Monthly Net Salary (After Tax)
0,,Albania,290.66
1,,Algeria,303.40
2,,Argentina,899.58
3,,Armenia,309.06
4,,Australia,3218.02
5,,Austria,2081.52
6,,Azerbaijan,292.95
7,,Bahrain,1792.04
8,,Bangladesh,345.24
9,,Belarus,344.91
10,,Belgium,2126.92
11,,Bolivia,507.88
12,,Bosnia And Herzegovina,486.52
13,,Brazil,545.56
14,,Bulgaria,538.88
15,,Cambodia,274.29
16,,Canada,2288.00
17,,Chile,779.47
18,,China,1046.45
19,,Colombia,355.15
20,,Costa Rica,810.01
21,,Croatia,802.47
22,,Cyprus,1501.48
23,,Czech Republic,947.74
24,,Denmark,2803.11
25,,Dominican Republic,360.83
26,,Ecuador,450.61
27,,Egypt,299.14
28,,El Salvador,336.79
29,,Estonia,978.37
30,,Finland,2589.04
31,,France,2219.38
32,,Georgia,309.95
33,,Germany,2501.38
34,,Greece,791.25
35,,Guatemala,585.29
36,,Hong Kong,2655.67
37,,Hungary,616.86
38,,Iceland,2410.41
39,,India,557.67
40,,Indonesia,336.31
41,,Iran,483.29
42,,Iraq,723.63
43,,Ireland,2647.37
44,,Israel,2017.15
45,,Italy,1599.84
46,,Jamaica,542.21
47,,Japan,2622.86
48,,Jordan,626.59
49,,Kazakhstan,407.26
50,,Kenya,317.50
51,,Kosovo (Disputed Territory),441.47
52,,Kuwait,2088.53
53,,Latvia,699.04
54,,Lebanon,1014.49
55,,Lithuania,705.25
56,,Luxembourg,3277.85
57,,Macedonia,341.46
58,,Malaysia,901.35
59,,Malta,1319.36
60,,Mauritius,559.33
61,,Mexico,549.27
62,,Moldova,226.28
63,,Montenegro,514.17
64,,Morocco,421.70
65,,Nepal,174.55
66,,Netherlands,2474.04
67,,New Zealand,2437.06
68,,Nigeria,409.23
69,,Norway,3302.12
70,,Oman,1972.39
71,,Pakistan,286.81
72,,Panama,720.43
73,,Peru,531.36
74,,Philippines,374.05
75,,Poland,844.50
76,,Portugal,949.61
77,,Puerto Rico,1465.21
78,,Qatar,3088.19
79,,Romania,535.74
80,,Russia,548.43
81,,Saudi Arabia,1808.12
82,,Serbia,387.88
83,,Singapore,3130.46
84,,Slovakia,913.54
85,,Slovenia,1168.63
86,,South Africa,1210.02
87,,South Korea,2095.37
88,,Spain,1470.12
89,,Sri Lanka,259.50
90,,Sweden,2699.14
91,,Switzerland,5381.96
92,,Taiwan,1949.28
93,,Thailand,574.71
94,,Trinidad And Tobago,798.06
95,,Tunisia,316.09
96,,Turkey,723.91
97,,Ukraine,211.62
98,,United Arab Emirates,3267.20
99,,United Kingdom,2567.44
100,,United States,3143.53
101,,Uruguay,552.78
102,,Venezuela,30.95
103,,Vietnam,323.77
104,,Zimbabwe,375.00
