,Rank,City,1 Pair of Nike Running Shoes (Mid-Range)
0,,Albania,78.19
1,,Algeria,71.25
2,,Argentina,78.52
3,,Armenia,80.42
4,,Australia,91.14
5,,Austria,93.47
6,,Azerbaijan,102.13
7,,Bahrain,84.41
8,,Bangladesh,54.19
9,,Belarus,91.52
10,,Belgium,92.63
11,,Bolivia,69.09
12,,Bosnia And Herzegovina,79.59
13,,Brazil,81.76
14,,Brunei,78.41
15,,Bulgaria,73.23
16,,Cambodia,46.22
17,,Canada,73.72
18,,Chile,60.07
19,,China,82.83
20,,Colombia,74.29
21,,Costa Rica,94.57
22,,Croatia,85.66
23,,Cyprus,81.12
24,,Czech Republic,78.46
25,,Denmark,107.99
26,,Dominican Republic,76.27
27,,Ecuador,96.20
28,,Egypt,123.82
29,,El Salvador,73.67
30,,Estonia,76.39
31,,Ethiopia,90.10
32,,Finland,93.08
33,,France,96.22
34,,Georgia,83.49
35,,Germany,90.13
36,,Greece,82.98
37,,Guatemala,83.98
38,,Honduras,94.81
39,,Hong Kong,88.26
40,,Hungary,77.81
41,,Iceland,142.65
42,,India,50.28
43,,Indonesia,67.52
44,,Iran,171.87
45,,Iraq,58.42
46,,Ireland,91.35
47,,Israel,117.46
48,,Italy,90.92
49,,Jamaica,55.38
50,,Japan,74.89
51,,Jordan,92.48
52,,Kazakhstan,76.64
53,,Kenya,53.47
54,,Kosovo (Disputed Territory),34.14
55,,Kuwait,95.75
56,,Latvia,77.64
57,,Lebanon,108.51
58,,Lithuania,81.54
59,,Luxembourg,82.93
60,,Macedonia,70.55
61,,Malaysia,63.66
62,,Malta,101.13
63,,Mauritius,85.54
64,,Mexico,72.20
65,,Moldova,84.13
66,,Montenegro,78.67
67,,Morocco,74.34
68,,Namibia,64.61
69,,Nepal,53.35
70,,Netherlands,98.12
71,,New Zealand,91.23
72,,Nigeria,53.10
73,,Norway,109.73
74,,Oman,65.39
75,,Pakistan,44.74
76,,Palestinian Territory,84.99
77,,Panama,63.86
78,,Peru,74.60
79,,Philippines,76.36
80,,Poland,72.03
81,,Portugal,80.97
82,,Puerto Rico,82.13
83,,Qatar,93.96
84,,Romania,69.01
85,,Russia,80.38
86,,Saudi Arabia,86.02
87,,Serbia,83.11
88,,Singapore,88.82
89,,Slovakia,68.46
90,,Slovenia,81.15
91,,South Africa,83.90
92,,South Korea,81.30
93,,Spain,77.87
94,,Sri Lanka,52.77
95,,Sweden,92.02
96,,Switzerland,114.07
97,,Taiwan,81.16
98,,Thailand,92.32
99,,Trinidad And Tobago,99.46
100,,Tunisia,78.06
101,,Turkey,63.01
102,,Uganda,-
103,,Ukraine,91.58
104,,United Arab Emirates,90.37
105,,United Kingdom,78.74
106,,United States,74.63
107,,Uruguay,96.16
108,,Uzbekistan,67.50
109,,Venezuela,80.77
110,,Vietnam,87.44
