,Rank,City,1 Pair of Nike Running Shoes (Mid-Range)
0,,Algeria,108.34
1,,Argentina,122.85
2,,Australia,140.97
3,,Austria,86.36
4,,Azerbaijan,97.39
5,,Bahrain,103.24
6,,Bangladesh,61.05
7,,Belarus,110.34
8,,Belgium,103.90
9,,Bosnia And Herzegovina,89.59
10,,Brazil,136.27
11,,Bulgaria,89.17
12,,Canada,98.91
13,,Chile,76.36
14,,China,106.22
15,,Colombia,89.36
16,,Costa Rica,105.60
17,,Croatia,93.29
18,,Cyprus,87.47
19,,Czech Republic,89.42
20,,Denmark,122.62
21,,Dominican Republic,65.14
22,,Ecuador,123.75
23,,Egypt,84.42
24,,Estonia,-
25,,Ethiopia,99.31
26,,Finland,106.11
27,,France,105.48
28,,Georgia,94.11
29,,Germany,94.69
30,,Ghana,101.67
31,,Greece,111.83
32,,Hong Kong,86.98
33,,Hungary,81.88
34,,Iceland,173.36
35,,India,55.13
36,,Indonesia,63.46
37,,Iran,116.15
38,,Iraq,93.00
39,,Ireland,97.09
40,,Israel,123.62
41,,Italy,119.89
42,,Jamaica,61.77
43,,Japan,81.84
44,,Jordan,98.80
45,,Kazakhstan,97.76
46,,Kenya,51.43
47,,Kuwait,120.69
48,,Latvia,103.04
49,,Lebanon,107.09
50,,Lithuania,104.87
51,,Luxembourg,123.38
52,,Macedonia,90.93
53,,Malaysia,93.79
54,,Malta,77.92
55,,Mexico,86.38
56,,Moldova,115.31
57,,Morocco,87.03
58,,Nepal,49.22
59,,Netherlands,123.38
60,,New Zealand,121.84
61,,Nigeria,73.13
62,,Norway,164.19
63,,Oman,86.18
64,,Pakistan,52.37
65,,Panama,70.00
66,,Peru,89.10
67,,Philippines,88.33
68,,Poland,77.44
69,,Portugal,99.46
70,,Puerto Rico,83.67
71,,Qatar,111.03
72,,Romania,77.52
73,,Russia,113.31
74,,Saudi Arabia,78.24
75,,Serbia,99.14
76,,Singapore,108.02
77,,Slovakia,81.34
78,,Slovenia,104.76
79,,South Africa,78.50
80,,South Korea,104.73
81,,Spain,100.61
82,,Sri Lanka,75.68
83,,Sweden,121.77
84,,Switzerland,140.14
85,,Syria,87.32
86,,Taiwan,76.82
87,,Tanzania,-
88,,Thailand,90.70
89,,Trinidad And Tobago,102.26
90,,Tunisia,91.37
91,,Turkey,74.47
92,,Ukraine,99.34
93,,United Arab Emirates,82.90
94,,United Kingdom,88.33
95,,United States,76.91
96,,Uruguay,150.86
97,,Venezuela,215.07
98,,Vietnam,78.34
