,Rank,City,Taxi 1hour Waiting (Normal Tariff)
0,,Albania,9.26
1,,Argentina,12.00
2,,Australia,44.37
3,,Austria,32.72
4,,Bahrain,8.11
5,,Bangladesh,2.24
6,,Belarus,4.77
7,,Belgium,37.04
8,,Bosnia And Herzegovina,6.29
9,,Brazil,13.05
10,,Bulgaria,6.84
11,,Cambodia,3.50
12,,Canada,30.10
13,,Chile,10.62
14,,China,4.86
15,,Colombia,10.84
16,,Costa Rica,10.00
17,,Croatia,8.20
18,,Cyprus,16.86
19,,Czech Republic,14.42
20,,Denmark,59.90
21,,Dominican Republic,2.81
22,,Ecuador,9.50
23,,Egypt,4.41
24,,Estonia,14.94
25,,Finland,51.88
26,,France,30.62
27,,Georgia,-
28,,Germany,30.86
29,,Greece,13.58
30,,Hong Kong,11.60
31,,Hungary,12.34
32,,Iceland,48.85
33,,India,1.51
34,,Indonesia,3.20
35,,Iran,5.00
36,,Iraq,1.50
37,,Ireland,30.86
38,,Israel,20.51
39,,Italy,37.04
40,,Japan,36.29
41,,Jordan,5.38
42,,Kazakhstan,11.10
43,,Kenya,10.63
44,,Kuwait,2.00
45,,Latvia,10.10
46,,Lebanon,27.48
47,,Lithuania,10.73
48,,Luxembourg,46.30
49,,Macedonia,6.17
50,,Malaysia,7.55
51,,Malta,12.35
52,,Mauritius,6.97
53,,Mexico,6.97
54,,Morocco,5.02
55,,Nepal,2.09
56,,Netherlands,24.44
57,,New Zealand,18.05
58,,Nigeria,10.00
59,,Norway,72.83
60,,Oman,500.00
61,,Pakistan,2.16
62,,Peru,9.10
63,,Philippines,2.42
64,,Poland,8.47
65,,Portugal,24.69
66,,Puerto Rico,19.50
67,,Qatar,4.12
68,,Romania,4.13
69,,Russia,10.48
70,,Saudi Arabia,2.66
71,,Serbia,4.94
72,,Singapore,13.64
73,,Slovakia,11.11
74,,Slovenia,18.52
75,,South Africa,7.39
76,,South Korea,9.73
77,,Spain,24.69
78,,Sri Lanka,0.57
79,,Sweden,57.08
80,,Switzerland,55.67
81,,Taiwan,3.69
82,,Tanzania,1.60
83,,Thailand,2.83
84,,Tunisia,5.28
85,,Turkey,10.75
86,,Ukraine,5.00
87,,United Arab Emirates,8.17
88,,United Kingdom,30.77
89,,United States,28.50
90,,Uruguay,39.28
91,,Venezuela,23.28
92,,Vietnam,0.94
