,Rank,City,Domestic Beer (0.5 liter bottle)
0,,Algeria,1.87
1,,Argentina,1.84
2,,Australia,4.61
3,,Austria,1.03
4,,Azerbaijan,1.54
5,,Bahrain,2.21
6,,Bangladesh,2.75
7,,Belarus,1.07
8,,Belgium,1.42
9,,Bosnia And Herzegovina,0.84
10,,Brazil,1.56
11,,Bulgaria,0.76
12,,Canada,2.25
13,,Chile,1.40
14,,China,0.71
15,,Colombia,1.04
16,,Costa Rica,1.75
17,,Croatia,1.21
18,,Cyprus,1.52
19,,Czech Republic,0.71
20,,Denmark,2.12
21,,Dominican Republic,1.65
22,,Ecuador,0.98
23,,Egypt,1.30
24,,Estonia,1.09
25,,Ethiopia,0.97
26,,Finland,3.22
27,,France,1.75
28,,Georgia,0.92
29,,Germany,1.07
30,,Ghana,2.41
31,,Greece,1.51
32,,Hong Kong,1.37
33,,Hungary,0.94
34,,Iceland,3.00
35,,India,1.45
36,,Indonesia,1.99
37,,Iran,8.64
38,,Iraq,2.45
39,,Ireland,3.55
40,,Israel,2.57
41,,Italy,1.47
42,,Jamaica,2.52
43,,Japan,2.57
44,,Jordan,3.43
45,,Kazakhstan,1.11
46,,Kenya,1.85
47,,Kuwait,4.09
48,,Latvia,1.08
49,,Lebanon,1.10
50,,Lithuania,0.99
51,,Luxembourg,-
52,,Macedonia,0.79
53,,Malaysia,2.84
54,,Malta,-
55,,Mexico,1.14
56,,Moldova,1.02
57,,Morocco,2.26
58,,Nepal,2.27
59,,Netherlands,1.16
60,,New Zealand,3.05
61,,Nigeria,1.45
62,,Norway,4.74
63,,Oman,-
64,,Pakistan,3.93
65,,Panama,0.74
66,,Peru,1.56
67,,Philippines,0.90
68,,Poland,0.90
69,,Portugal,1.18
70,,Puerto Rico,1.64
71,,Qatar,4.52
72,,Romania,0.85
73,,Russia,1.37
74,,Saudi Arabia,0.76
75,,Serbia,0.76
76,,Singapore,4.78
77,,Slovakia,0.99
78,,Slovenia,1.37
79,,South Africa,1.37
80,,South Korea,1.96
81,,Spain,1.06
82,,Sri Lanka,1.38
83,,Sweden,2.17
84,,Switzerland,1.78
85,,Syria,1.37
86,,Taiwan,1.47
87,,Tanzania,1.42
88,,Thailand,1.55
89,,Trinidad And Tobago,2.01
90,,Tunisia,1.31
91,,Turkey,2.31
92,,Ukraine,0.83
93,,United Arab Emirates,6.06
94,,United Kingdom,2.13
95,,United States,1.73
96,,Uruguay,2.27
97,,Venezuela,2.33
98,,Vietnam,0.58
