,Rank,City,Apples (1kg)
0,,Albania,1.16
1,,Argentina,2.47
2,,Australia,3.73
3,,Austria,2.28
4,,Bahrain,1.81
5,,Bangladesh,1.71
6,,Belarus,1.99
7,,Belgium,2.11
8,,Bosnia And Herzegovina,1.25
9,,Brazil,2.26
10,,Bulgaria,1.21
11,,Cambodia,2.91
12,,Canada,2.92
13,,Chile,1.23
14,,China,1.96
15,,Colombia,2.24
16,,Costa Rica,3.03
17,,Croatia,1.55
18,,Cyprus,2.49
19,,Czech Republic,1.24
20,,Denmark,3.14
21,,Dominican Republic,5.36
22,,Ecuador,1.95
23,,Egypt,2.25
24,,Estonia,1.48
25,,Finland,2.51
26,,France,2.78
27,,Georgia,1.48
28,,Germany,2.49
29,,Greece,1.76
30,,Hong Kong,3.35
31,,Hungary,1.18
32,,Iceland,5.59
33,,India,2.20
34,,Indonesia,2.29
35,,Iran,1.77
36,,Iraq,1.78
37,,Ireland,3.16
38,,Israel,2.18
39,,Italy,2.15
40,,Japan,7.85
41,,Jordan,2.44
42,,Kazakhstan,1.81
43,,Kenya,3.49
44,,Kuwait,2.24
45,,Latvia,1.27
46,,Lebanon,1.64
47,,Lithuania,1.06
48,,Luxembourg,3.15
49,,Macedonia,0.82
50,,Malaysia,2.04
51,,Malta,2.59
52,,Mauritius,1.39
53,,Mexico,2.13
54,,Morocco,1.72
55,,Nepal,1.66
56,,Netherlands,2.24
57,,New Zealand,2.61
58,,Nigeria,4.83
59,,Norway,3.67
60,,Oman,2.02
61,,Pakistan,1.34
62,,Peru,1.48
63,,Philippines,2.27
64,,Poland,0.90
65,,Portugal,1.62
66,,Puerto Rico,4.56
67,,Qatar,1.87
68,,Romania,1.02
69,,Russia,1.74
70,,Saudi Arabia,1.80
71,,Serbia,1.00
72,,Singapore,3.35
73,,Slovakia,1.40
74,,Slovenia,1.53
75,,South Africa,1.82
76,,South Korea,4.50
77,,Spain,1.90
78,,Sri Lanka,2.01
79,,Sweden,2.71
80,,Switzerland,3.70
81,,Taiwan,3.00
82,,Tanzania,2.48
83,,Thailand,2.13
84,,Tunisia,1.68
85,,Turkey,1.32
86,,Ukraine,1.22
87,,United Arab Emirates,2.22
88,,United Kingdom,2.61
89,,United States,3.48
90,,Uruguay,2.27
91,,Venezuela,7.49
92,,Vietnam,2.69
