,Rank,City,Cappuccino (regular)
0,,Albania,1.19
1,,Algeria,0.70
2,,Argentina,2.96
3,,Armenia,2.10
4,,Australia,3.14
5,,Austria,3.39
6,,Azerbaijan,1.91
7,,Bahrain,4.52
8,,Bangladesh,1.85
9,,Belarus,1.58
10,,Belgium,3.07
11,,Bolivia,2.19
12,,Bosnia And Herzegovina,1.03
13,,Brazil,1.73
14,,Bulgaria,1.25
15,,Cambodia,1.92
16,,Canada,2.93
17,,Chile,2.60
18,,China,3.92
19,,Colombia,1.44
20,,Costa Rica,2.42
21,,Croatia,1.58
22,,Cyprus,3.30
23,,Czech Republic,1.90
24,,Denmark,5.05
25,,Dominican Republic,1.44
26,,Ecuador,2.15
27,,Egypt,1.35
28,,Estonia,2.65
29,,Finland,3.86
30,,France,3.17
31,,Georgia,1.60
32,,Germany,3.01
33,,Greece,3.30
34,,Guatemala,2.31
35,,Hong Kong,4.42
36,,Hungary,1.42
37,,Iceland,5.39
38,,India,1.64
39,,Indonesia,2.08
40,,Iran,2.51
41,,Iraq,1.75
42,,Ireland,3.18
43,,Israel,3.25
44,,Italy,1.50
45,,Jamaica,3.02
46,,Japan,3.55
47,,Jordan,3.97
48,,Kazakhstan,2.00
49,,Kenya,2.25
50,,Kosovo (Disputed Territory),1.10
51,,Kuwait,4.91
52,,Latvia,2.37
53,,Lebanon,3.19
54,,Lithuania,2.30
55,,Luxembourg,3.56
56,,Macedonia,1.26
57,,Malaysia,2.39
58,,Malta,2.09
59,,Mauritius,1.92
60,,Mexico,2.05
61,,Moldova,1.31
62,,Montenegro,1.59
63,,Morocco,1.47
64,,Nepal,1.59
65,,Netherlands,2.90
66,,New Zealand,3.19
67,,Nigeria,2.80
68,,Norway,4.59
69,,Oman,4.15
70,,Pakistan,1.89
71,,Panama,2.69
72,,Peru,2.38
73,,Philippines,2.17
74,,Poland,2.16
75,,Portugal,1.32
76,,Puerto Rico,2.36
77,,Qatar,5.02
78,,Romania,1.72
79,,Russia,2.40
80,,Saudi Arabia,2.81
81,,Serbia,1.30
82,,Singapore,3.84
83,,Slovakia,1.82
84,,Slovenia,1.61
85,,South Africa,1.86
86,,South Korea,3.97
87,,Spain,1.76
88,,Sri Lanka,2.55
89,,Sweden,4.01
90,,Switzerland,4.72
91,,Taiwan,2.46
92,,Tanzania,1.88
93,,Thailand,1.83
94,,Trinidad And Tobago,2.62
95,,Tunisia,0.88
96,,Turkey,2.27
97,,Ukraine,0.88
98,,United Arab Emirates,4.55
99,,United Kingdom,3.31
100,,United States,4.00
101,,Uruguay,3.22
102,,Venezuela,0.89
103,,Vietnam,1.78
104,,Zimbabwe,2.62
