,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.00
1,,Algeria,1.86
2,,Argentina,3.35
3,,Armenia,1.29
4,,Australia,4.31
5,,Austria,1.38
6,,Azerbaijan,2.20
7,,Bahrain,2.86
8,,Bangladesh,5.10
9,,Belarus,1.99
10,,Belgium,1.73
11,,Bosnia And Herzegovina,0.87
12,,Brazil,2.91
13,,Bulgaria,1.05
14,,Cambodia,1.63
15,,Canada,2.12
16,,Chile,1.92
17,,China,2.39
18,,Colombia,1.87
19,,Costa Rica,2.64
20,,Croatia,1.37
21,,Cyprus,1.03
22,,Czech Republic,1.04
23,,Denmark,2.30
24,,Dominican Republic,2.57
25,,Ecuador,3.04
26,,Egypt,2.09
27,,Estonia,1.34
28,,Finland,2.84
29,,France,1.54
30,,Georgia,1.16
31,,Germany,1.16
32,,Greece,1.41
33,,Guatemala,-
34,,Hong Kong,1.76
35,,Hungary,1.08
36,,Iceland,2.56
37,,India,2.19
38,,Indonesia,3.26
39,,Iran,4.04
40,,Iraq,-
41,,Ireland,2.62
42,,Israel,3.21
43,,Italy,1.55
44,,Jamaica,-
45,,Japan,3.35
46,,Jordan,6.23
47,,Kazakhstan,1.40
48,,Kenya,2.15
49,,Kuwait,-
50,,Latvia,1.35
51,,Lebanon,2.12
52,,Lithuania,1.05
53,,Luxembourg,1.91
54,,Macedonia,1.06
55,,Malaysia,3.47
56,,Malta,1.54
57,,Mauritius,-
58,,Mexico,2.10
59,,Moldova,0.97
60,,Montenegro,1.37
61,,Morocco,1.89
62,,Nepal,3.03
63,,Netherlands,1.21
64,,New Zealand,3.29
65,,Nigeria,1.76
66,,Norway,4.10
67,,Oman,-
68,,Pakistan,3.80
69,,Panama,1.88
70,,Peru,2.20
71,,Philippines,1.77
72,,Poland,1.11
73,,Portugal,1.37
74,,Puerto Rico,3.00
75,,Qatar,7.14
76,,Romania,1.11
77,,Russia,1.88
78,,Saudi Arabia,1.00
79,,Serbia,0.88
80,,Singapore,5.18
81,,Slovakia,1.12
82,,Slovenia,1.59
83,,South Africa,1.81
84,,South Korea,3.28
85,,Spain,1.24
86,,Sri Lanka,2.09
87,,Sweden,1.96
88,,Switzerland,2.54
89,,Taiwan,1.78
90,,Tanzania,1.82
91,,Thailand,2.21
92,,Trinidad And Tobago,-
93,,Tunisia,0.86
94,,Turkey,2.67
95,,Ukraine,1.15
96,,United Arab Emirates,7.81
97,,United Kingdom,2.27
98,,United States,2.46
99,,Uruguay,2.12
100,,Venezuela,-
101,,Vietnam,1.46
102,,Zimbabwe,1.06
