,Rank,City,McMeal at McDonalds (or Equivalent Combo Meal)
0,,Albania,4.47
1,,Algeria,3.70
2,,Argentina,6.45
3,,Armenia,5.16
4,,Australia,8.07
5,,Austria,8.91
6,,Azerbaijan,4.70
7,,Bahrain,6.64
8,,Bangladesh,5.89
9,,Belarus,4.14
10,,Belgium,9.46
11,,Bolivia,6.95
12,,Bosnia And Herzegovina,4.55
13,,Brazil,5.05
14,,Bulgaria,5.68
15,,Cambodia,6.00
16,,Canada,8.01
17,,Chile,6.26
18,,China,4.90
19,,Colombia,4.87
20,,Costa Rica,7.89
21,,Croatia,6.59
22,,Cyprus,6.68
23,,Czech Republic,6.21
24,,Denmark,11.95
25,,Dominican Republic,6.58
26,,Ecuador,6.00
27,,Egypt,5.38
28,,Estonia,6.68
29,,Finland,8.91
30,,France,10.02
31,,Georgia,4.55
32,,Germany,8.91
33,,Ghana,-
34,,Greece,7.79
35,,Guatemala,5.85
36,,Hong Kong,5.16
37,,Hungary,5.14
38,,Iceland,14.75
39,,India,3.98
40,,Indonesia,3.45
41,,Iran,4.00
42,,Iraq,6.70
43,,Ireland,9.41
44,,Israel,14.28
45,,Italy,8.91
46,,Japan,6.51
47,,Jordan,7.05
48,,Kazakhstan,4.85
49,,Kenya,5.63
50,,Kosovo (Disputed Territory),3.34
51,,Kuwait,6.49
52,,Latvia,6.12
53,,Lebanon,11.89
54,,Lithuania,5.57
55,,Luxembourg,11.13
56,,Malaysia,3.47
57,,Malta,8.91
58,,Mauritius,5.64
59,,Mexico,4.53
60,,Moldova,5.15
61,,Montenegro,4.45
62,,Morocco,5.62
63,,Nepal,4.96
64,,Netherlands,8.91
65,,New Zealand,7.49
66,,Nigeria,5.17
67,,North Macedonia,3.43
68,,Norway,11.38
69,,Oman,6.50
70,,Pakistan,4.30
71,,Panama,7.00
72,,Peru,4.94
73,,Philippines,2.98
74,,Poland,5.02
75,,Portugal,7.24
76,,Puerto Rico,7.00
77,,Qatar,6.82
78,,Romania,4.58
79,,Russia,4.28
80,,Saudi Arabia,6.66
81,,Serbia,5.66
82,,Singapore,5.68
83,,Slovakia,6.68
84,,Slovenia,6.68
85,,South Africa,3.44
86,,South Korea,5.30
87,,Spain,8.85
88,,Sri Lanka,4.83
89,,Sweden,9.05
90,,Switzerland,15.61
91,,Syria,-
92,,Taiwan,4.51
93,,Tanzania,8.64
94,,Thailand,5.67
95,,Trinidad And Tobago,5.91
96,,Tunisia,3.48
97,,Turkey,3.67
98,,Uganda,-
99,,Ukraine,4.09
100,,United Arab Emirates,8.17
101,,United Kingdom,7.43
102,,United States,8.00
103,,Uruguay,7.89
104,,Uzbekistan,-
105,,Venezuela,8.00
106,,Vietnam,4.30
