,Rank,City,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
0,,Argentina,41.33
1,,Australia,211.97
2,,Austria,294.49
3,,Bangladesh,27.50
4,,Belgium,219.20
5,,Bosnia And Herzegovina,80.92
6,,Brazil,110.59
7,,Bulgaria,104.77
8,,Canada,195.18
9,,Chile,85.00
10,,China,34.49
11,,Colombia,148.06
12,,Costa Rica,48.50
13,,Croatia,149.18
14,,Cyprus,137.68
15,,Czech Republic,153.34
16,,Denmark,172.87
17,,Ecuador,30.00
18,,Egypt,46.67
19,,Estonia,142.51
20,,Finland,161.84
21,,France,127.02
22,,Germany,173.15
23,,Greece,151.56
24,,Hong Kong,129.47
25,,Hungary,210.99
26,,Iceland,76.81
27,,India,38.35
28,,Indonesia,64.40
29,,Iran,85.00
30,,Ireland,168.12
31,,Israel,184.17
32,,Italy,197.84
33,,Japan,216.58
34,,Jordan,64.52
35,,Latvia,89.18
36,,Lebanon,115.00
37,,Lithuania,160.55
38,,Macedonia,84.89
39,,Malaysia,48.33
40,,Malta,155.07
41,,Mexico,97.16
42,,Morocco,49.41
43,,Netherlands,182.19
44,,New Zealand,183.38
45,,Norway,302.06
46,,Pakistan,56.69
47,,Panama,125.00
48,,Peru,75.00
49,,Philippines,76.93
50,,Poland,102.31
51,,Portugal,109.12
52,,Puerto Rico,237.50
53,,Qatar,129.21
54,,Romania,86.58
55,,Russia,95.16
56,,Saudi Arabia,70.33
57,,Serbia,126.96
58,,Singapore,153.66
59,,Slovakia,170.29
60,,Slovenia,120.29
61,,South Africa,166.57
62,,South Korea,123.56
63,,Spain,115.53
64,,Sri Lanka,60.00
65,,Sweden,185.64
66,,Switzerland,222.90
67,,Syria,66.67
68,,Taiwan,85.00
69,,Thailand,54.99
70,,Tunisia,62.50
71,,Turkey,139.75
72,,Ukraine,67.25
73,,United Arab Emirates,137.86
74,,United Kingdom,215.94
75,,United States,213.28
76,,Uruguay,178.57
77,,Venezuela,84.12
78,,Vietnam,63.33
