,Rank,City,Water (0.33 liter bottle)
0,,Albania,0.57
1,,Argentina,1.47
2,,Australia,2.51
3,,Austria,2.16
4,,Bahrain,1.27
5,,Bangladesh,0.21
6,,Belarus,0.79
7,,Belgium,2.31
8,,Bosnia And Herzegovina,0.77
9,,Brazil,0.93
10,,Bulgaria,0.60
11,,Cambodia,0.41
12,,Canada,1.56
13,,Chile,1.06
14,,China,0.37
15,,Colombia,0.90
16,,Costa Rica,1.34
17,,Croatia,1.39
18,,Cyprus,1.00
19,,Czech Republic,0.95
20,,Denmark,2.61
21,,Dominican Republic,0.43
22,,Ecuador,0.51
23,,Egypt,0.28
24,,Estonia,1.21
25,,Finland,2.19
26,,France,1.86
27,,Georgia,0.51
28,,Germany,2.07
29,,Greece,0.62
30,,Hong Kong,0.83
31,,Hungary,0.78
32,,Iceland,2.04
33,,India,0.23
34,,Indonesia,0.30
35,,Iran,0.28
36,,Iraq,0.22
37,,Ireland,1.51
38,,Israel,1.64
39,,Italy,1.26
40,,Japan,1.44
41,,Jordan,0.40
42,,Kazakhstan,0.52
43,,Kenya,0.63
44,,Kuwait,0.43
45,,Latvia,1.05
46,,Lebanon,0.76
47,,Lithuania,0.73
48,,Luxembourg,2.84
49,,Macedonia,0.63
50,,Malaysia,0.38
51,,Malta,1.16
52,,Mauritius,0.75
53,,Mexico,0.60
54,,Morocco,0.64
55,,Nepal,0.25
56,,Netherlands,2.27
57,,New Zealand,1.91
58,,Nigeria,0.89
59,,Norway,3.46
60,,Oman,0.38
61,,Pakistan,0.23
62,,Peru,0.53
63,,Philippines,0.39
64,,Poland,0.76
65,,Portugal,1.04
66,,Puerto Rico,1.08
67,,Qatar,0.60
68,,Romania,0.80
69,,Russia,0.80
70,,Saudi Arabia,0.26
71,,Serbia,0.94
72,,Singapore,0.83
73,,Slovakia,1.16
74,,Slovenia,1.62
75,,South Africa,0.83
76,,South Korea,0.79
77,,Spain,1.45
78,,Sri Lanka,0.49
79,,Sweden,1.92
80,,Switzerland,3.44
81,,Taiwan,0.80
82,,Tanzania,0.41
83,,Thailand,0.32
84,,Tunisia,0.28
85,,Turkey,0.46
86,,Ukraine,0.61
87,,United Arab Emirates,0.35
88,,United Kingdom,1.42
89,,United States,1.27
90,,Uruguay,1.46
91,,Venezuela,1.93
92,,Vietnam,0.43
