,Rank,City,Tennis Court Rent (1 Hour on Weekend)
0,,Albania,7.26
1,,Algeria,8.70
2,,Argentina,23.12
3,,Armenia,13.06
4,,Australia,15.52
5,,Austria,17.95
6,,Azerbaijan,29.80
7,,Bahrain,-
8,,Bangladesh,6.54
9,,Belarus,16.22
10,,Belgium,14.86
11,,Bosnia And Herzegovina,7.05
12,,Brazil,25.67
13,,Bulgaria,10.90
14,,Cambodia,-
15,,Canada,16.57
16,,Chile,15.84
17,,China,14.94
18,,Colombia,9.93
19,,Costa Rica,17.88
20,,Croatia,8.81
21,,Cyprus,14.21
22,,Czech Republic,8.88
23,,Denmark,24.42
24,,Dominican Republic,-
25,,Ecuador,25.00
26,,Egypt,7.77
27,,Estonia,24.41
28,,Finland,23.33
29,,France,17.11
30,,Georgia,-
31,,Germany,19.27
32,,Greece,14.18
33,,Guatemala,-
34,,Hong Kong,7.75
35,,Hungary,10.07
36,,Iceland,-
37,,India,6.01
38,,Indonesia,6.78
39,,Iran,15.17
40,,Iraq,-
41,,Ireland,13.98
42,,Israel,14.85
43,,Italy,18.29
44,,Jamaica,-
45,,Japan,9.39
46,,Jordan,15.76
47,,Kazakhstan,18.82
48,,Kenya,8.55
49,,Kuwait,48.27
50,,Latvia,19.58
51,,Lebanon,21.36
52,,Lithuania,18.29
53,,Luxembourg,21.64
54,,Macedonia,8.34
55,,Malaysia,6.29
56,,Malta,11.48
57,,Mauritius,-
58,,Mexico,15.04
59,,Moldova,5.69
60,,Montenegro,11.78
61,,Morocco,11.18
62,,Nepal,6.46
63,,Netherlands,18.77
64,,New Zealand,12.18
65,,Nigeria,-
66,,Norway,32.46
67,,Oman,18.97
68,,Pakistan,7.39
69,,Panama,-
70,,Peru,10.11
71,,Philippines,5.21
72,,Poland,12.57
73,,Portugal,10.76
74,,Puerto Rico,13.83
75,,Qatar,14.20
76,,Romania,10.62
77,,Russia,18.81
78,,Saudi Arabia,32.80
79,,Serbia,8.71
80,,Singapore,11.07
81,,Slovakia,10.69
82,,Slovenia,12.02
83,,South Africa,6.80
84,,South Korea,9.09
85,,Spain,12.93
86,,Sri Lanka,7.19
87,,Sweden,26.53
88,,Switzerland,36.10
89,,Taiwan,10.65
90,,Tanzania,9.01
91,,Thailand,7.03
92,,Trinidad And Tobago,-
93,,Tunisia,6.77
94,,Turkey,18.79
95,,Ukraine,7.87
96,,United Arab Emirates,27.95
97,,United Kingdom,15.30
98,,United States,17.59
99,,Uruguay,19.26
100,,Venezuela,-
101,,Vietnam,8.00
102,,Zimbabwe,-
