,Rank,City,"Rice (white), (1kg)"
0,,Albania,1.04
1,,Algeria,0.88
2,,Argentina,2.14
3,,Armenia,1.13
4,,Australia,2.18
5,,Austria,1.81
6,,Azerbaijan,1.45
7,,Bahrain,1.85
8,,Bangladesh,0.64
9,,Belarus,1.00
10,,Belgium,1.95
11,,Bosnia And Herzegovina,1.15
12,,Brazil,1.07
13,,Bulgaria,1.20
14,,Cambodia,0.84
15,,Canada,3.33
16,,Chile,1.35
17,,China,1.17
18,,Colombia,1.18
19,,Costa Rica,2.16
20,,Croatia,1.48
21,,Cyprus,1.47
22,,Czech Republic,1.23
23,,Denmark,2.16
24,,Dominican Republic,1.47
25,,Ecuador,1.22
26,,Egypt,0.66
27,,Estonia,1.14
28,,Finland,2.28
29,,France,1.93
30,,Georgia,0.82
31,,Germany,1.75
32,,Greece,1.72
33,,Guatemala,1.08
34,,Hong Kong,2.27
35,,Hungary,0.89
36,,Iceland,3.31
37,,India,0.77
38,,Indonesia,0.91
39,,Iran,2.33
40,,Iraq,1.92
41,,Ireland,1.81
42,,Israel,2.16
43,,Italy,2.14
44,,Jamaica,1.41
45,,Japan,4.15
46,,Jordan,1.53
47,,Kazakhstan,1.28
48,,Kenya,1.52
49,,Kuwait,1.92
50,,Latvia,1.39
51,,Lebanon,1.84
52,,Lithuania,1.32
53,,Luxembourg,-
54,,Macedonia,1.26
55,,Malaysia,1.18
56,,Malta,1.99
57,,Mauritius,-
58,,Mexico,1.01
59,,Moldova,0.83
60,,Montenegro,1.08
61,,Morocco,1.24
62,,Nepal,0.72
63,,Netherlands,1.77
64,,New Zealand,2.02
65,,Nigeria,1.79
66,,Norway,3.06
67,,Oman,1.92
68,,Pakistan,1.20
69,,Panama,1.99
70,,Peru,1.06
71,,Philippines,0.98
72,,Poland,0.91
73,,Portugal,0.93
74,,Puerto Rico,2.30
75,,Qatar,2.26
76,,Romania,1.04
77,,Russia,1.13
78,,Saudi Arabia,1.68
79,,Serbia,1.13
80,,Singapore,2.05
81,,Slovakia,1.17
82,,Slovenia,1.46
83,,South Africa,1.43
84,,South Korea,3.40
85,,Spain,1.04
86,,Sri Lanka,0.66
87,,Sweden,2.73
88,,Switzerland,2.74
89,,Taiwan,2.83
90,,Tanzania,0.99
91,,Thailand,1.20
92,,Trinidad And Tobago,1.38
93,,Tunisia,0.89
94,,Turkey,1.86
95,,Ukraine,1.07
96,,United Arab Emirates,2.31
97,,United Kingdom,2.15
98,,United States,3.70
99,,Uruguay,1.40
100,,Venezuela,0.65
101,,Vietnam,0.77
102,,Zimbabwe,1.52
