,Rank,City,Coke/Pepsi (0.33 liter bottle)
0,,Albania,1.31
1,,Algeria,0.70
2,,Argentina,1.73
3,,Armenia,0.66
4,,Australia,2.85
5,,Austria,3.21
6,,Azerbaijan,0.76
7,,Bahrain,0.96
8,,Bangladesh,0.38
9,,Belarus,1.11
10,,Belgium,2.61
11,,Bosnia And Herzegovina,1.67
12,,Brazil,1.53
13,,Bulgaria,1.10
14,,Cambodia,0.73
15,,Canada,1.78
16,,Chile,1.26
17,,China,0.54
18,,Colombia,1.03
19,,Costa Rica,1.47
20,,Croatia,2.19
21,,Cyprus,1.94
22,,Czech Republic,1.38
23,,Denmark,3.64
24,,Dominican Republic,0.97
25,,Ecuador,0.87
26,,Egypt,0.44
27,,Estonia,1.50
28,,Finland,2.85
29,,France,3.35
30,,Georgia,0.52
31,,Germany,2.80
32,,Greece,1.87
33,,Hong Kong,1.08
34,,Hungary,1.14
35,,Iceland,2.53
36,,India,0.39
37,,Indonesia,0.58
38,,Iran,0.45
39,,Iraq,0.42
40,,Ireland,2.02
41,,Israel,2.47
42,,Italy,2.78
43,,Jamaica,1.04
44,,Japan,1.31
45,,Jordan,0.50
46,,Kazakhstan,0.72
47,,Kenya,0.69
48,,Kuwait,0.75
49,,Latvia,1.17
50,,Lebanon,0.67
51,,Lithuania,1.21
52,,Luxembourg,3.13
53,,Macedonia,1.47
54,,Malaysia,0.67
55,,Malta,1.83
56,,Mexico,0.82
57,,Morocco,0.65
58,,Nepal,0.39
59,,Netherlands,2.86
60,,New Zealand,2.49
61,,Nigeria,0.51
62,,Norway,4.40
63,,Oman,0.44
64,,Pakistan,0.35
65,,Panama,1.16
66,,Peru,0.80
67,,Philippines,0.57
68,,Poland,1.29
69,,Portugal,1.57
70,,Puerto Rico,1.01
71,,Qatar,0.48
72,,Romania,1.33
73,,Russia,1.17
74,,Saudi Arabia,0.40
75,,Serbia,1.60
76,,Singapore,1.20
77,,Slovakia,1.66
78,,Slovenia,2.58
79,,South Africa,0.92
80,,South Korea,1.30
81,,Spain,2.26
82,,Sri Lanka,0.63
83,,Sweden,2.48
84,,Switzerland,4.51
85,,Taiwan,0.92
86,,Thailand,0.55
87,,Trinidad And Tobago,0.81
88,,Tunisia,0.58
89,,Turkey,1.13
90,,Ukraine,0.68
91,,United Arab Emirates,0.44
92,,United Kingdom,1.86
93,,United States,1.65
94,,Uruguay,2.09
95,,Venezuela,2.82
96,,Vietnam,0.50
