,Rank,City,Monthly Pass (Regular Price)
0,,Albania,11.67
1,,Algeria,12.63
2,,Argentina,25.00
3,,Armenia,-
4,,Australia,118.76
5,,Austria,63.95
6,,Azerbaijan,-
7,,Bahrain,2.65
8,,Bangladesh,6.45
9,,Belarus,18.00
10,,Belgium,66.68
11,,Bosnia And Herzegovina,34.71
12,,Brazil,62.47
13,,Bulgaria,31.35
14,,Cambodia,-
15,,Canada,82.92
16,,Chile,54.56
17,,China,16.00
18,,Colombia,42.14
19,,Costa Rica,-
20,,Croatia,62.86
21,,Cyprus,40.82
22,,Czech Republic,27.23
23,,Denmark,66.54
24,,Dominican Republic,27.73
25,,Ecuador,15.00
26,,Egypt,9.79
27,,Estonia,31.30
28,,Finland,66.00
29,,France,68.04
30,,Georgia,16.95
31,,Germany,94.91
32,,Greece,40.82
33,,Hong Kong,51.59
34,,Hungary,42.69
35,,Iceland,82.19
36,,India,10.14
37,,Indonesia,12.80
38,,Iran,14.64
39,,Iraq,50.00
40,,Ireland,163.29
41,,Israel,70.76
42,,Italy,47.63
43,,Jamaica,86.39
44,,Japan,93.14
45,,Jordan,35.26
46,,Kazakhstan,27.24
47,,Kenya,39.89
48,,Kuwait,53.21
49,,Latvia,40.82
50,,Lebanon,50.00
51,,Lithuania,38.65
52,,Luxembourg,34.02
53,,Macedonia,22.09
54,,Malaysia,30.97
55,,Malta,35.38
56,,Mexico,23.31
57,,Morocco,24.28
58,,Nepal,8.42
59,,Netherlands,108.86
60,,New Zealand,94.02
61,,Nigeria,146.69
62,,Norway,108.43
63,,Oman,-
64,,Pakistan,8.12
65,,Panama,-
66,,Peru,15.53
67,,Philippines,11.40
68,,Poland,32.22
69,,Portugal,48.51
70,,Puerto Rico,37.50
71,,Qatar,61.81
72,,Romania,17.03
73,,Russia,37.23
74,,Saudi Arabia,93.32
75,,Serbia,38.34
76,,Singapore,79.59
77,,Slovakia,33.34
78,,Slovenia,50.35
79,,South Africa,37.80
80,,South Korea,43.94
81,,Spain,57.29
82,,Sri Lanka,11.77
83,,Sweden,82.20
84,,Switzerland,82.42
85,,Taiwan,33.29
86,,Thailand,27.36
87,,Trinidad And Tobago,-
88,,Tunisia,23.30
89,,Turkey,66.73
90,,Ukraine,10.19
91,,United Arab Emirates,54.45
92,,United Kingdom,92.11
93,,United States,70.00
94,,Uruguay,40.15
95,,Venezuela,9.00
96,,Vietnam,8.99
