,Rank,City,One-way Ticket (Local Transport)
0,,Albania,0.28
1,,Argentina,0.45
2,,Australia,3.88
3,,Austria,2.47
4,,Bahrain,0.57
5,,Bangladesh,0.37
6,,Belarus,0.20
7,,Belgium,2.47
8,,Bosnia And Herzegovina,1.01
9,,Brazil,1.35
10,,Bulgaria,0.63
11,,Cambodia,0.50
12,,Canada,2.67
13,,Chile,1.16
14,,China,0.31
15,,Colombia,0.95
16,,Costa Rica,0.89
17,,Croatia,1.80
18,,Cyprus,1.23
19,,Czech Republic,1.20
20,,Denmark,3.33
21,,Dominican Republic,0.58
22,,Ecuador,0.25
23,,Egypt,0.20
24,,Estonia,1.23
25,,Finland,3.33
26,,France,1.85
27,,Georgia,0.30
28,,Germany,2.84
29,,Greece,1.73
30,,Hong Kong,1.16
31,,Hungary,1.32
32,,Iceland,2.64
33,,India,0.21
34,,Indonesia,0.32
35,,Iran,0.20
36,,Iraq,0.50
37,,Ireland,2.78
38,,Israel,1.68
39,,Italy,1.85
40,,Japan,2.55
41,,Jordan,0.70
42,,Kazakhstan,0.40
43,,Kenya,0.49
44,,Kuwait,0.84
45,,Latvia,0.89
46,,Lebanon,1.33
47,,Lithuania,0.72
48,,Luxembourg,1.85
49,,Macedonia,0.62
50,,Malaysia,0.63
51,,Malta,1.60
52,,Mauritius,1.43
53,,Mexico,0.42
54,,Morocco,0.45
55,,Nepal,0.30
56,,Netherlands,3.09
57,,New Zealand,2.56
58,,Nigeria,1.00
59,,Norway,4.91
60,,Oman,0.36
61,,Pakistan,0.22
62,,Peru,0.49
63,,Philippines,0.23
64,,Poland,0.85
65,,Portugal,1.73
66,,Puerto Rico,1.00
67,,Qatar,-
68,,Romania,0.52
69,,Russia,0.60
70,,Saudi Arabia,0.67
71,,Serbia,0.64
72,,Singapore,1.18
73,,Slovakia,0.86
74,,Slovenia,1.48
75,,South Africa,1.35
76,,South Korea,0.93
77,,Spain,1.85
78,,Sri Lanka,0.38
79,,Sweden,3.44
80,,Switzerland,3.61
81,,Taiwan,0.67
82,,Tanzania,0.25
83,,Thailand,0.55
84,,Tunisia,0.43
85,,Turkey,1.08
86,,Ukraine,0.25
87,,United Arab Emirates,1.23
88,,United Kingdom,3.08
89,,United States,2.00
90,,Uruguay,0.97
91,,Venezuela,0.93
92,,Vietnam,0.20
