,Rank,City,Price per Square Meter to Buy Apartment Outside of Centre
0,,Algeria,1072.36
1,,Argentina,1520.51
2,,Australia,4699.83
3,,Austria,3923.93
4,,Azerbaijan,892.36
5,,Bahrain,-
6,,Bangladesh,562.87
7,,Belarus,1344.65
8,,Belgium,2327.67
9,,Bosnia And Herzegovina,992.80
10,,Brazil,2207.85
11,,Bulgaria,751.17
12,,Canada,2898.04
13,,Chile,1737.57
14,,China,2602.62
15,,Colombia,1348.32
16,,Costa Rica,1287.05
17,,Croatia,1783.63
18,,Cyprus,1985.16
19,,Czech Republic,1769.67
20,,Denmark,3047.15
21,,Dominican Republic,1221.32
22,,Ecuador,933.33
23,,Egypt,391.56
24,,Estonia,-
25,,Ethiopia,683.11
26,,Finland,3070.96
27,,France,4348.08
28,,Georgia,810.74
29,,Germany,2710.58
30,,Ghana,-
31,,Greece,1919.54
32,,Hong Kong,11545.88
33,,Hungary,1003.95
34,,Iceland,2374.52
35,,India,728.86
36,,Indonesia,738.81
37,,Iran,1320.77
38,,Iraq,711.78
39,,Ireland,3852.81
40,,Israel,4328.70
41,,Italy,3744.59
42,,Jamaica,-
43,,Japan,4180.35
44,,Jordan,821.60
45,,Kazakhstan,1417.63
46,,Kenya,1701.99
47,,Kuwait,-
48,,Latvia,1240.47
49,,Lebanon,2001.40
50,,Lithuania,1109.96
51,,Luxembourg,-
52,,Macedonia,904.41
53,,Malaysia,1356.37
54,,Malta,1601.73
55,,Mexico,913.27
56,,Moldova,700.60
57,,Morocco,905.16
58,,Nepal,-
59,,Netherlands,2939.70
60,,New Zealand,2287.00
61,,Nigeria,-
62,,Norway,5517.70
63,,Oman,-
64,,Pakistan,532.31
65,,Panama,-
66,,Peru,1246.27
67,,Philippines,1163.82
68,,Poland,1625.79
69,,Portugal,1395.02
70,,Puerto Rico,1388.06
71,,Qatar,-
72,,Romania,1019.41
73,,Russia,2145.30
74,,Saudi Arabia,835.56
75,,Serbia,1250.31
76,,Singapore,8607.90
77,,Slovakia,1489.96
78,,Slovenia,2342.66
79,,South Africa,931.30
80,,South Korea,3001.99
81,,Spain,2633.54
82,,Sri Lanka,886.30
83,,Sweden,4121.88
84,,Switzerland,7766.20
85,,Syria,1110.75
86,,Taiwan,3626.86
87,,Tanzania,-
88,,Thailand,2131.29
89,,Trinidad And Tobago,-
90,,Tunisia,674.85
91,,Turkey,820.11
92,,Ukraine,960.88
93,,United Arab Emirates,2574.23
94,,United Kingdom,4097.84
95,,United States,1342.51
96,,Uruguay,2062.20
97,,Venezuela,-
98,,Vietnam,850.70
