,Rank,City,Cappuccino (regular)
0,,Albania,1.27
1,,Algeria,0.51
2,,Argentina,1.85
3,,Armenia,2.21
4,,Australia,3.01
5,,Austria,3.53
6,,Azerbaijan,2.33
7,,Bahrain,4.63
8,,Bangladesh,1.92
9,,Belarus,1.76
10,,Belgium,3.45
11,,Bolivia,2.38
12,,Bosnia And Herzegovina,1.12
13,,Brazil,1.56
14,,Brunei,3.35
15,,Bulgaria,1.35
16,,Cambodia,1.96
17,,Canada,3.16
18,,Chile,2.51
19,,China,3.99
20,,Colombia,1.23
21,,Costa Rica,2.75
22,,Croatia,1.68
23,,Cyprus,3.29
24,,Czech Republic,2.13
25,,Denmark,5.69
26,,Dominican Republic,1.53
27,,Ecuador,1.94
28,,Egypt,1.66
29,,El Salvador,-
30,,Estonia,3.08
31,,Ethiopia,0.65
32,,Finland,4.13
33,,France,3.17
34,,Georgia,1.60
35,,Germany,3.07
36,,Greece,3.42
37,,Guatemala,2.23
38,,Honduras,1.53
39,,Hong Kong,4.55
40,,Hungary,1.52
41,,Iceland,4.61
42,,India,1.67
43,,Indonesia,2.03
44,,Iran,1.78
45,,Iraq,1.65
46,,Ireland,3.51
47,,Israel,3.34
48,,Italy,1.53
49,,Jamaica,2.54
50,,Japan,3.64
51,,Jordan,3.29
52,,Kazakhstan,1.98
53,,Kenya,2.58
54,,Kosovo (Disputed Territory),1.02
55,,Kuwait,4.66
56,,Latvia,2.67
57,,Lebanon,4.00
58,,Lithuania,2.37
59,,Luxembourg,3.56
60,,Macedonia,1.40
61,,Malaysia,2.58
62,,Malta,2.41
63,,Mauritius,2.86
64,,Mexico,2.19
65,,Moldova,1.24
66,,Montenegro,1.60
67,,Morocco,1.55
68,,Namibia,1.82
69,,Nepal,1.60
70,,Netherlands,3.20
71,,New Zealand,3.09
72,,Nigeria,2.01
73,,Norway,4.84
74,,Oman,4.46
75,,Pakistan,1.52
76,,Palestinian Territory,2.18
77,,Panama,3.00
78,,Peru,2.32
79,,Philippines,2.20
80,,Poland,2.33
81,,Portugal,1.60
82,,Puerto Rico,2.73
83,,Qatar,5.25
84,,Romania,1.81
85,,Russia,1.96
86,,Saudi Arabia,3.32
87,,Serbia,1.36
88,,Singapore,4.00
89,,Slovakia,2.13
90,,Slovenia,1.65
91,,South Africa,1.85
92,,South Korea,3.88
93,,Spain,1.83
94,,Sri Lanka,2.33
95,,Sweden,3.83
96,,Switzerland,4.61
97,,Taiwan,2.69
98,,Thailand,2.02
99,,Trinidad And Tobago,2.60
100,,Tunisia,0.60
101,,Turkey,1.89
102,,Uganda,2.15
103,,Ukraine,1.07
104,,United Arab Emirates,4.94
105,,United Kingdom,3.46
106,,United States,4.26
107,,Uruguay,2.86
108,,Uzbekistan,1.34
109,,Venezuela,1.01
110,,Vietnam,1.77
