,Rank,City,Taxi Start (Normal Tariff)
0,,Albania,2.28
1,,Algeria,0.25
2,,Argentina,1.02
3,,Armenia,1.25
4,,Australia,3.16
5,,Austria,4.48
6,,Azerbaijan,0.94
7,,Bahrain,5.30
8,,Bangladesh,0.95
9,,Belarus,1.72
10,,Belgium,4.76
11,,Bolivia,1.45
12,,Bosnia And Herzegovina,1.14
13,,Brazil,1.32
14,,Brunei,-
15,,Bulgaria,0.51
16,,Cambodia,0.75
17,,Canada,2.77
18,,Chile,0.42
19,,China,1.74
20,,Colombia,1.34
21,,Costa Rica,1.11
22,,Croatia,1.50
23,,Cyprus,5.48
24,,Czech Republic,1.73
25,,Denmark,7.48
26,,Dominican Republic,3.77
27,,Ecuador,1.50
28,,Egypt,0.42
29,,El Salvador,5.00
30,,Estonia,2.80
31,,Ethiopia,1.83
32,,Finland,6.72
33,,France,5.60
34,,Georgia,1.08
35,,Germany,3.92
36,,Greece,3.92
37,,Guatemala,3.24
38,,Honduras,2.75
39,,Hong Kong,3.06
40,,Hungary,2.41
41,,Iceland,5.66
42,,India,0.72
43,,Indonesia,0.49
44,,Iran,0.36
45,,Iraq,2.52
46,,Ireland,4.48
47,,Israel,3.42
48,,Italy,5.60
49,,Jamaica,-
50,,Japan,5.54
51,,Jordan,0.49
52,,Kazakhstan,1.31
53,,Kenya,2.47
54,,Kosovo (Disputed Territory),1.68
55,,Kuwait,3.29
56,,Latvia,2.24
57,,Lebanon,6.00
58,,Lithuania,1.12
59,,Luxembourg,-
60,,Macedonia,0.72
61,,Malaysia,0.72
62,,Malta,5.60
63,,Mauritius,-
64,,Mexico,1.53
65,,Moldova,1.39
66,,Montenegro,1.12
67,,Morocco,0.72
68,,Namibia,0.82
69,,Nepal,1.79
70,,Netherlands,3.97
71,,New Zealand,2.29
72,,Nigeria,1.39
73,,Norway,11.42
74,,Oman,2.60
75,,Pakistan,0.68
76,,Palestinian Territory,2.76
77,,Panama,2.00
78,,Peru,2.08
79,,Philippines,0.77
80,,Poland,2.09
81,,Portugal,3.86
82,,Puerto Rico,-
83,,Qatar,2.75
84,,Romania,0.47
85,,Russia,1.53
86,,Saudi Arabia,2.67
87,,Serbia,1.61
88,,Singapore,2.62
89,,Slovakia,3.36
90,,Slovenia,1.12
91,,South Africa,1.37
92,,South Korea,3.20
93,,Spain,3.36
94,,Sri Lanka,0.34
95,,Sweden,5.26
96,,Switzerland,6.80
97,,Taiwan,2.38
98,,Thailand,1.11
99,,Trinidad And Tobago,0.74
100,,Tunisia,0.17
101,,Turkey,0.77
102,,Uganda,-
103,,Ukraine,1.67
104,,United Arab Emirates,3.27
105,,United Kingdom,3.79
106,,United States,3.50
107,,Uruguay,1.19
108,,Uzbekistan,0.60
109,,Venezuela,-
110,,Vietnam,0.51
