,Rank,City,Loaf of Fresh White Bread (500g)
0,,Albania,0.57
1,,Algeria,0.16
2,,Argentina,1.40
3,,Armenia,0.47
4,,Australia,1.88
5,,Austria,2.06
6,,Azerbaijan,0.27
7,,Bahamas,3.39
8,,Bahrain,1.02
9,,Bangladesh,0.61
10,,Belarus,0.59
11,,Belgium,1.93
12,,Belize,-
13,,Bolivia,1.71
14,,Bosnia And Herzegovina,0.66
15,,Brazil,1.51
16,,Bulgaria,0.60
17,,Cambodia,1.49
18,,Canada,2.25
19,,Chile,1.33
20,,China,1.85
21,,Colombia,1.02
22,,Costa Rica,2.09
23,,Croatia,0.92
24,,Cyprus,1.61
25,,Czech Republic,1.03
26,,Denmark,2.39
27,,Dominican Republic,1.26
28,,Ecuador,1.39
29,,Egypt,0.50
30,,El Salvador,-
31,,Estonia,0.79
32,,Fiji,-
33,,Finland,2.23
34,,France,1.46
35,,Georgia,0.36
36,,Germany,1.67
37,,Ghana,-
38,,Greece,0.99
39,,Guatemala,1.85
40,,Hong Kong,2.38
41,,Hungary,0.80
42,,Iceland,3.16
43,,India,0.45
44,,Indonesia,1.15
45,,Iran,0.43
46,,Iraq,0.90
47,,Ireland,1.78
48,,Israel,1.95
49,,Italy,1.71
50,,Jamaica,2.42
51,,Japan,1.72
52,,Jordan,0.43
53,,Kazakhstan,0.29
54,,Kenya,0.54
55,,Kosovo (Disputed Territory),0.45
56,,Kuwait,-
57,,Latvia,0.95
58,,Lebanon,0.90
59,,Lithuania,1.31
60,,Luxembourg,2.00
61,,Macedonia,0.52
62,,Malaysia,0.81
63,,Malta,1.16
64,,Mauritius,-
65,,Mexico,1.43
66,,Moldova,0.35
67,,Montenegro,0.69
68,,Morocco,0.58
69,,Namibia,0.85
70,,Nepal,0.43
71,,Netherlands,1.49
72,,New Zealand,1.54
73,,Nigeria,0.88
74,,Norway,3.38
75,,Oman,0.96
76,,Pakistan,0.53
77,,Panama,2.00
78,,Peru,1.43
79,,Philippines,1.01
80,,Poland,0.78
81,,Portugal,1.31
82,,Puerto Rico,2.48
83,,Qatar,1.45
84,,Romania,0.62
85,,Russia,0.56
86,,Saudi Arabia,0.69
87,,Serbia,0.45
88,,Singapore,1.53
89,,Slovakia,1.05
90,,Slovenia,1.18
91,,South Africa,0.98
92,,South Korea,2.79
93,,Spain,1.15
94,,Sri Lanka,0.47
95,,Sweden,2.57
96,,Switzerland,2.74
97,,Taiwan,1.71
98,,Tanzania,0.51
99,,Thailand,1.19
100,,Trinidad And Tobago,1.93
101,,Tunisia,0.15
102,,Turkey,0.48
103,,Uganda,0.97
104,,Ukraine,0.42
105,,United Arab Emirates,1.06
106,,United Kingdom,1.32
107,,United States,2.61
108,,Uruguay,1.83
109,,Uzbekistan,0.16
110,,Venezuela,0.72
111,,Vietnam,0.80
112,,Zimbabwe,1.02
