,Rank,City,McMeal at McDonalds (or Equivalent Combo Meal)
0,,Albania,4.65
1,,Algeria,3.00
2,,Argentina,7.21
3,,Armenia,5.19
4,,Australia,8.30
5,,Austria,8.17
6,,Azerbaijan,4.70
7,,Bahamas,8.00
8,,Bahrain,5.56
9,,Bangladesh,4.74
10,,Belarus,4.50
11,,Belgium,9.34
12,,Belize,-
13,,Bolivia,6.50
14,,Bosnia And Herzegovina,4.19
15,,Brazil,6.71
16,,Bulgaria,4.78
17,,Cambodia,5.00
18,,Canada,7.72
19,,Chile,6.69
20,,China,5.46
21,,Colombia,5.22
22,,Costa Rica,7.08
23,,Croatia,6.01
24,,Cyprus,7.01
25,,Czech Republic,5.88
26,,Denmark,11.77
27,,Dominican Republic,7.07
28,,Ecuador,6.00
29,,Egypt,4.19
30,,El Salvador,6.00
31,,Estonia,6.66
32,,Fiji,7.28
33,,Finland,9.34
34,,France,9.34
35,,Georgia,5.26
36,,Germany,8.53
37,,Ghana,-
38,,Greece,7.01
39,,Guatemala,5.89
40,,Hong Kong,4.46
41,,Hungary,5.48
42,,Iceland,14.35
43,,India,3.72
44,,Indonesia,3.60
45,,Iran,4.75
46,,Iraq,7.00
47,,Ireland,9.34
48,,Israel,14.03
49,,Italy,9.34
50,,Jamaica,5.92
51,,Japan,6.23
52,,Jordan,7.05
53,,Kazakhstan,5.47
54,,Kenya,6.70
55,,Kosovo (Disputed Territory),2.92
56,,Kuwait,6.61
57,,Latvia,5.84
58,,Lebanon,8.00
59,,Lithuania,5.84
60,,Luxembourg,10.51
61,,Macedonia,3.03
62,,Malaysia,3.51
63,,Malta,9.34
64,,Mauritius,6.66
65,,Mexico,4.51
66,,Moldova,4.57
67,,Montenegro,3.50
68,,Morocco,5.27
69,,Namibia,4.33
70,,Nepal,6.49
71,,Netherlands,9.34
72,,New Zealand,7.69
73,,Nigeria,4.17
74,,Norway,13.43
75,,Oman,6.23
76,,Pakistan,5.19
77,,Panama,6.88
78,,Peru,4.89
79,,Philippines,2.85
80,,Poland,4.87
81,,Portugal,7.01
82,,Puerto Rico,6.00
83,,Qatar,6.87
84,,Romania,4.51
85,,Russia,4.81
86,,Saudi Arabia,6.13
87,,Serbia,4.95
88,,Singapore,5.60
89,,Slovakia,6.07
90,,Slovenia,5.84
91,,South Africa,4.73
92,,South Korea,5.58
93,,Spain,8.17
94,,Sri Lanka,4.74
95,,Sweden,9.06
96,,Switzerland,14.17
97,,Taiwan,4.02
98,,Tanzania,5.26
99,,Thailand,6.21
100,,Trinidad And Tobago,5.94
101,,Tunisia,3.30
102,,Turkey,3.97
103,,Uganda,6.63
104,,Ukraine,3.45
105,,United Arab Emirates,6.81
106,,United Kingdom,7.16
107,,United States,7.50
108,,Uruguay,8.84
109,,Uzbekistan,2.40
110,,Venezuela,3.00
111,,Vietnam,3.95
112,,Zimbabwe,6.00
