,Rank,City,Cappuccino (regular)
0,,Algeria,0.85
1,,Argentina,3.20
2,,Australia,3.78
3,,Austria,3.59
4,,Azerbaijan,3.52
5,,Bahrain,3.49
6,,Bangladesh,1.49
7,,Belarus,2.07
8,,Belgium,3.07
9,,Bosnia And Herzegovina,1.41
10,,Brazil,1.99
11,,Bulgaria,1.31
12,,Canada,3.53
13,,Chile,2.65
14,,China,4.36
15,,Colombia,1.67
16,,Costa Rica,2.28
17,,Croatia,1.63
18,,Cyprus,4.32
19,,Czech Republic,1.87
20,,Denmark,5.53
21,,Dominican Republic,1.33
22,,Ecuador,2.00
23,,Egypt,1.87
24,,Estonia,2.71
25,,Ethiopia,0.52
26,,Finland,3.99
27,,France,3.36
28,,Georgia,2.10
29,,Germany,3.21
30,,Ghana,2.56
31,,Greece,4.02
32,,Hong Kong,3.84
33,,Hungary,1.55
34,,Iceland,3.54
35,,India,1.24
36,,Indonesia,2.26
37,,Iran,2.31
38,,Iraq,1.32
39,,Ireland,3.52
40,,Israel,3.47
41,,Italy,1.72
42,,Jamaica,2.61
43,,Japan,3.63
44,,Jordan,4.03
45,,Kazakhstan,3.07
46,,Kenya,2.29
47,,Kuwait,4.71
48,,Latvia,2.32
49,,Lebanon,3.36
50,,Lithuania,1.87
51,,Luxembourg,3.07
52,,Macedonia,1.48
53,,Malaysia,2.92
54,,Malta,2.13
55,,Mexico,2.32
56,,Moldova,1.94
57,,Morocco,1.66
58,,Nepal,1.48
59,,Netherlands,3.14
60,,New Zealand,3.35
61,,Nigeria,2.51
62,,Norway,5.95
63,,Oman,3.32
64,,Pakistan,1.64
65,,Panama,2.13
66,,Peru,2.80
67,,Philippines,2.09
68,,Poland,2.19
69,,Portugal,1.47
70,,Puerto Rico,2.37
71,,Qatar,4.58
72,,Romania,1.68
73,,Russia,3.56
74,,Saudi Arabia,2.58
75,,Serbia,1.59
76,,Singapore,4.16
77,,Slovakia,1.85
78,,Slovenia,1.81
79,,South Africa,1.68
80,,South Korea,4.07
81,,Spain,1.96
82,,Sri Lanka,2.08
83,,Sweden,4.54
84,,Switzerland,4.57
85,,Syria,1.44
86,,Taiwan,2.32
87,,Tanzania,2.48
88,,Thailand,1.98
89,,Trinidad And Tobago,2.90
90,,Tunisia,1.07
91,,Turkey,3.00
92,,Ukraine,1.79
93,,United Arab Emirates,4.11
94,,United Kingdom,3.54
95,,United States,3.67
96,,Uruguay,3.61
97,,Venezuela,2.62
98,,Vietnam,2.20
