,Rank,City,"Fitness Club, Monthly Fee for 1 Adult"
0,,Albania,28.33
1,,Algeria,17.34
2,,Argentina,42.69
3,,Armenia,51.82
4,,Australia,49.01
5,,Austria,32.68
6,,Azerbaijan,51.17
7,,Bahrain,60.12
8,,Bangladesh,29.72
9,,Belarus,34.63
10,,Belgium,28.20
11,,Bosnia And Herzegovina,24.02
12,,Brazil,39.19
13,,Bulgaria,24.34
14,,Cambodia,50.92
15,,Canada,40.90
16,,Chile,40.89
17,,China,42.15
18,,Colombia,40.97
19,,Costa Rica,47.81
20,,Croatia,35.67
21,,Cyprus,51.50
22,,Czech Republic,29.71
23,,Denmark,31.66
24,,Dominican Republic,52.05
25,,Ecuador,44.00
26,,Egypt,38.68
27,,Estonia,52.75
28,,Finland,52.80
29,,France,46.80
30,,Georgia,40.47
31,,Germany,35.98
32,,Greece,32.97
33,,Guatemala,45.05
34,,Hong Kong,76.10
35,,Hungary,37.41
36,,Iceland,58.80
37,,India,21.01
38,,Indonesia,32.96
39,,Iran,24.28
40,,Iraq,83.06
41,,Ireland,45.15
42,,Israel,69.68
43,,Italy,53.16
44,,Jamaica,38.84
45,,Japan,69.87
46,,Jordan,59.15
47,,Kazakhstan,75.16
48,,Kenya,51.56
49,,Kuwait,104.20
50,,Latvia,42.39
51,,Lebanon,72.03
52,,Lithuania,47.32
53,,Luxembourg,74.41
54,,Macedonia,18.06
55,,Malaysia,42.11
56,,Malta,53.68
57,,Mauritius,45.52
58,,Mexico,43.64
59,,Moldova,30.32
60,,Montenegro,30.84
61,,Morocco,32.53
62,,Nepal,21.26
63,,Netherlands,30.14
64,,New Zealand,45.37
65,,Nigeria,48.32
66,,Norway,53.34
67,,Oman,50.69
68,,Pakistan,17.51
69,,Panama,63.20
70,,Peru,55.44
71,,Philippines,31.98
72,,Poland,31.44
73,,Portugal,41.38
74,,Puerto Rico,36.54
75,,Qatar,146.98
76,,Romania,29.91
77,,Russia,39.72
78,,Saudi Arabia,90.01
79,,Serbia,21.90
80,,Singapore,92.80
81,,Slovakia,29.31
82,,Slovenia,43.17
83,,South Africa,33.46
84,,South Korea,63.16
85,,Spain,42.27
86,,Sri Lanka,13.46
87,,Sweden,39.41
88,,Switzerland,108.87
89,,Taiwan,47.09
90,,Tanzania,56.20
91,,Thailand,47.79
92,,Trinidad And Tobago,58.38
93,,Tunisia,21.76
94,,Turkey,42.70
95,,Ukraine,17.51
96,,United Arab Emirates,86.63
97,,United Kingdom,51.76
98,,United States,38.08
99,,Uruguay,52.26
100,,Venezuela,38.77
101,,Vietnam,29.22
102,,Zimbabwe,53.75
