,Rank,City,One-way Ticket (Local Transport)
0,,Albania,0.34
1,,Algeria,0.18
2,,Argentina,0.44
3,,Armenia,0.21
4,,Australia,3.09
5,,Austria,2.46
6,,Azerbaijan,0.12
7,,Bahrain,0.80
8,,Bangladesh,0.37
9,,Belarus,0.30
10,,Belgium,2.46
11,,Bolivia,0.29
12,,Bosnia And Herzegovina,0.92
13,,Brazil,1.15
14,,Bulgaria,0.92
15,,Cambodia,2.00
16,,Canada,2.41
17,,Chile,1.06
18,,China,0.29
19,,Colombia,0.69
20,,Costa Rica,0.70
21,,Croatia,1.51
22,,Cyprus,1.68
23,,Czech Republic,1.03
24,,Denmark,3.61
25,,Dominican Republic,0.53
26,,Ecuador,0.25
27,,Egypt,0.11
28,,Estonia,1.68
29,,Finland,3.36
30,,France,1.90
31,,Georgia,0.21
32,,Germany,3.13
33,,Greece,1.57
34,,Guatemala,0.24
35,,Hong Kong,1.28
36,,Hungary,1.27
37,,Iceland,4.46
38,,India,0.31
39,,Indonesia,0.30
40,,Iran,0.21
41,,Iraq,0.43
42,,Ireland,2.91
43,,Israel,1.67
44,,Italy,1.68
45,,Jamaica,0.77
46,,Japan,1.81
47,,Jordan,0.70
48,,Kazakhstan,0.25
49,,Kenya,0.48
50,,Kosovo (Disputed Territory),0.45
51,,Kuwait,0.99
52,,Latvia,1.29
53,,Lebanon,1.33
54,,Lithuania,1.12
55,,Luxembourg,2.24
56,,Macedonia,0.64
57,,Malaysia,0.59
58,,Malta,1.68
59,,Mauritius,0.92
60,,Mexico,0.44
61,,Moldova,0.12
62,,Montenegro,0.90
63,,Morocco,0.51
64,,Nepal,0.19
65,,Netherlands,3.25
66,,New Zealand,2.61
67,,Nigeria,0.64
68,,Norway,4.12
69,,Oman,1.30
70,,Pakistan,0.19
71,,Panama,0.30
72,,Peru,0.46
73,,Philippines,0.20
74,,Poland,0.91
75,,Portugal,1.68
76,,Puerto Rico,1.50
77,,Qatar,1.37
78,,Romania,0.49
79,,Russia,0.61
80,,Saudi Arabia,0.80
81,,Serbia,0.81
82,,Singapore,1.16
83,,Slovakia,0.78
84,,Slovenia,1.34
85,,South Africa,1.16
86,,South Korea,1.11
87,,Spain,1.68
88,,Sri Lanka,0.13
89,,Sweden,3.44
90,,Switzerland,3.61
91,,Taiwan,0.66
92,,Tanzania,0.18
93,,Thailand,0.88
94,,Trinidad And Tobago,0.89
95,,Tunisia,0.21
96,,Turkey,0.74
97,,Ukraine,0.17
98,,United Arab Emirates,1.36
99,,United Kingdom,3.06
100,,United States,2.50
101,,Uruguay,1.16
102,,Venezuela,0.05
103,,Vietnam,0.26
104,,Zimbabwe,0.50
