,Rank,City,1 Pair of Men Leather Business Shoes
0,,Albania,69.86
1,,Algeria,71.08
2,,Argentina,146.24
3,,Armenia,67.21
4,,Australia,103.34
5,,Austria,123.64
6,,Azerbaijan,67.82
7,,Bahrain,83.05
8,,Bangladesh,47.87
9,,Belarus,102.61
10,,Belgium,131.98
11,,Bolivia,52.18
12,,Bosnia And Herzegovina,83.24
13,,Brazil,72.85
14,,Bulgaria,68.35
15,,Cambodia,45.57
16,,Canada,93.47
17,,Chile,83.48
18,,China,77.53
19,,Colombia,74.96
20,,Costa Rica,98.96
21,,Croatia,91.34
22,,Cyprus,82.65
23,,Czech Republic,92.56
24,,Denmark,149.52
25,,Dominican Republic,86.16
26,,Ecuador,84.74
27,,Egypt,50.75
28,,Estonia,97.47
29,,Finland,126.44
30,,France,131.91
31,,Georgia,81.28
32,,Germany,121.23
33,,Greece,100.60
34,,Guatemala,106.54
35,,Hong Kong,132.17
36,,Hungary,93.68
37,,Iceland,243.62
38,,India,42.46
39,,Indonesia,56.97
40,,Iran,75.55
41,,Iraq,53.27
42,,Ireland,97.39
43,,Israel,129.19
44,,Italy,123.37
45,,Jamaica,-
46,,Japan,106.12
47,,Jordan,87.50
48,,Kazakhstan,108.13
49,,Kenya,49.22
50,,Kosovo (Disputed Territory),38.56
51,,Kuwait,78.59
52,,Latvia,96.23
53,,Lebanon,130.35
54,,Lithuania,116.77
55,,Luxembourg,141.98
56,,Macedonia,76.64
57,,Malaysia,64.96
58,,Malta,87.70
59,,Mauritius,84.28
60,,Mexico,62.52
61,,Moldova,101.74
62,,Montenegro,81.73
63,,Morocco,68.67
64,,Nepal,38.36
65,,Netherlands,135.28
66,,New Zealand,117.76
67,,Nigeria,66.08
68,,Norway,149.77
69,,Oman,69.07
70,,Pakistan,39.80
71,,Panama,78.16
72,,Peru,74.92
73,,Philippines,56.56
74,,Poland,85.78
75,,Portugal,90.27
76,,Puerto Rico,87.24
77,,Qatar,86.74
78,,Romania,80.65
79,,Russia,115.33
80,,Saudi Arabia,72.31
81,,Serbia,84.71
82,,Singapore,95.26
83,,Slovakia,80.63
84,,Slovenia,108.55
85,,South Africa,84.02
86,,South Korea,134.15
87,,Spain,94.72
88,,Sri Lanka,35.29
89,,Sweden,141.94
90,,Switzerland,162.21
91,,Taiwan,99.65
92,,Tanzania,-
93,,Thailand,77.58
94,,Trinidad And Tobago,80.18
95,,Tunisia,57.59
96,,Turkey,59.73
97,,Ukraine,95.78
98,,United Arab Emirates,89.09
99,,United Kingdom,83.15
100,,United States,94.55
101,,Uruguay,116.34
102,,Venezuela,74.67
103,,Vietnam,65.48
104,,Zimbabwe,72.50
