,Rank,City,Potato (1kg)
0,,Albania,0.69
1,,Algeria,0.65
2,,Argentina,1.46
3,,Armenia,0.61
4,,Australia,2.97
5,,Austria,1.98
6,,Azerbaijan,1.26
7,,Bahrain,1.49
8,,Bangladesh,0.28
9,,Belarus,0.86
10,,Belgium,1.39
11,,Bosnia And Herzegovina,0.68
12,,Brazil,1.50
13,,Bulgaria,0.72
14,,Cambodia,-
15,,Canada,2.02
16,,Chile,1.24
17,,China,0.89
18,,Colombia,0.84
19,,Costa Rica,1.58
20,,Croatia,0.83
21,,Cyprus,0.98
22,,Czech Republic,0.78
23,,Denmark,1.89
24,,Dominican Republic,1.84
25,,Ecuador,1.24
26,,Egypt,0.55
27,,Estonia,0.60
28,,Finland,1.23
29,,France,2.06
30,,Georgia,0.55
31,,Germany,1.96
32,,Greece,0.97
33,,Hong Kong,2.66
34,,Hungary,0.82
35,,Iceland,1.98
36,,India,0.43
37,,Indonesia,1.17
38,,Iran,0.77
39,,Iraq,0.82
40,,Ireland,2.28
41,,Israel,1.30
42,,Italy,1.59
43,,Jamaica,1.81
44,,Japan,3.28
45,,Jordan,1.10
46,,Kazakhstan,0.64
47,,Kenya,1.00
48,,Kuwait,1.31
49,,Latvia,0.47
50,,Lebanon,0.91
51,,Lithuania,0.47
52,,Luxembourg,1.16
53,,Macedonia,0.66
54,,Malaysia,1.09
55,,Malta,1.24
56,,Mexico,1.27
57,,Morocco,0.56
58,,Nepal,0.43
59,,Netherlands,1.90
60,,New Zealand,1.97
61,,Nigeria,1.28
62,,Norway,2.64
63,,Oman,1.18
64,,Pakistan,0.48
65,,Panama,3.00
66,,Peru,0.75
67,,Philippines,1.55
68,,Poland,0.62
69,,Portugal,0.92
70,,Puerto Rico,2.75
71,,Qatar,1.20
72,,Romania,0.64
73,,Russia,0.96
74,,Saudi Arabia,1.15
75,,Serbia,0.74
76,,Singapore,1.92
77,,Slovakia,0.86
78,,Slovenia,1.29
79,,South Africa,1.23
80,,South Korea,3.05
81,,Spain,1.28
82,,Sri Lanka,1.02
83,,Sweden,1.31
84,,Switzerland,2.52
85,,Taiwan,2.10
86,,Thailand,1.54
87,,Trinidad And Tobago,1.16
88,,Tunisia,0.51
89,,Turkey,1.03
90,,Ukraine,0.58
91,,United Arab Emirates,1.34
92,,United Kingdom,2.17
93,,United States,2.57
94,,Uruguay,1.85
95,,Venezuela,5.86
96,,Vietnam,0.79
