,Rank,City,"Fitness Club, Monthly Fee for 1 Adult"
0,,Albania,27.18
1,,Algeria,17.56
2,,Argentina,40.30
3,,Armenia,52.52
4,,Australia,48.50
5,,Austria,43.39
6,,Azerbaijan,35.25
7,,Bahrain,78.84
8,,Bangladesh,28.00
9,,Belarus,33.22
10,,Belgium,31.72
11,,Bolivia,44.28
12,,Bosnia And Herzegovina,25.77
13,,Brazil,34.41
14,,Bulgaria,25.10
15,,Cambodia,40.00
16,,Canada,38.50
17,,Chile,41.21
18,,China,43.64
19,,Colombia,35.46
20,,Costa Rica,52.31
21,,Croatia,36.12
22,,Cyprus,44.98
23,,Czech Republic,31.32
24,,Denmark,36.27
25,,Dominican Republic,39.34
26,,Ecuador,44.81
27,,Egypt,36.15
28,,El Salvador,32.27
29,,Estonia,58.07
30,,Finland,51.67
31,,France,47.13
32,,Georgia,44.81
33,,Germany,33.29
34,,Greece,35.48
35,,Guatemala,46.70
36,,Hong Kong,81.36
37,,Hungary,38.98
38,,Iceland,62.50
39,,India,21.68
40,,Indonesia,32.46
41,,Iran,26.73
42,,Iraq,47.07
43,,Ireland,48.16
44,,Israel,68.65
45,,Italy,55.80
46,,Jamaica,38.08
47,,Japan,86.77
48,,Jordan,55.69
49,,Kazakhstan,47.72
50,,Kenya,50.28
51,,Kosovo (Disputed Territory),14.82
52,,Kuwait,115.86
53,,Latvia,44.39
54,,Lebanon,64.31
55,,Lithuania,50.29
56,,Luxembourg,63.57
57,,Macedonia,17.86
58,,Malaysia,35.55
59,,Malta,53.96
60,,Mauritius,37.81
61,,Mexico,34.31
62,,Moldova,32.66
63,,Montenegro,33.44
64,,Morocco,25.78
65,,Nepal,27.05
66,,Netherlands,29.64
67,,New Zealand,40.93
68,,Nigeria,61.01
69,,Norway,52.82
70,,Oman,44.19
71,,Pakistan,20.69
72,,Panama,63.99
73,,Peru,49.81
74,,Philippines,34.93
75,,Poland,29.78
76,,Portugal,42.02
77,,Puerto Rico,30.88
78,,Qatar,149.36
79,,Romania,31.10
80,,Russia,35.23
81,,Saudi Arabia,76.01
82,,Serbia,24.18
83,,Singapore,92.09
84,,Slovakia,27.85
85,,Slovenia,46.24
86,,South Africa,30.76
87,,South Korea,60.15
88,,Spain,42.07
89,,Sri Lanka,13.51
90,,Sweden,42.43
91,,Switzerland,93.92
92,,Taiwan,44.86
93,,Thailand,52.49
94,,Trinidad And Tobago,46.42
95,,Tunisia,24.69
96,,Turkey,41.58
97,,Ukraine,14.91
98,,United Arab Emirates,94.27
99,,United Kingdom,48.81
100,,United States,37.98
101,,Uruguay,52.20
102,,Venezuela,8.79
103,,Vietnam,27.07
104,,Zimbabwe,47.78
