,Rank,City,Eggs (regular) (12)
0,,Algeria,1.56
1,,Argentina,2.39
2,,Australia,4.11
3,,Austria,4.31
4,,Azerbaijan,1.85
5,,Bahrain,2.31
6,,Bangladesh,1.39
7,,Belarus,1.56
8,,Belgium,2.72
9,,Bosnia And Herzegovina,2.01
10,,Brazil,1.95
11,,Bulgaria,1.92
12,,Canada,3.19
13,,Chile,2.76
14,,China,1.89
15,,Colombia,2.03
16,,Costa Rica,2.78
17,,Croatia,2.78
18,,Cyprus,3.63
19,,Czech Republic,2.01
20,,Denmark,3.99
21,,Dominican Republic,1.99
22,,Ecuador,1.78
23,,Egypt,1.53
24,,Estonia,1.70
25,,Ethiopia,1.76
26,,Finland,3.03
27,,France,3.54
28,,Georgia,1.99
29,,Germany,2.69
30,,Ghana,2.33
31,,Greece,3.60
32,,Hong Kong,2.76
33,,Hungary,2.13
34,,Iceland,4.35
35,,India,0.89
36,,Indonesia,1.56
37,,Iran,1.82
38,,Iraq,1.90
39,,Ireland,3.24
40,,Israel,3.58
41,,Italy,3.13
42,,Jamaica,2.50
43,,Japan,2.10
44,,Jordan,2.43
45,,Kazakhstan,1.80
46,,Kenya,1.79
47,,Kuwait,1.86
48,,Latvia,1.87
49,,Lebanon,2.75
50,,Lithuania,2.19
51,,Luxembourg,3.00
52,,Macedonia,1.76
53,,Malaysia,1.48
54,,Malta,2.65
55,,Mexico,2.09
56,,Moldova,1.43
57,,Morocco,1.49
58,,Nepal,1.21
59,,Netherlands,2.55
60,,New Zealand,3.60
61,,Nigeria,2.55
62,,Norway,5.31
63,,Oman,-
64,,Pakistan,1.03
65,,Panama,2.34
66,,Peru,2.01
67,,Philippines,1.58
68,,Poland,2.09
69,,Portugal,2.21
70,,Puerto Rico,2.41
71,,Qatar,2.65
72,,Romania,2.17
73,,Russia,1.70
74,,Saudi Arabia,2.17
75,,Serbia,1.79
76,,Singapore,2.20
77,,Slovakia,2.56
78,,Slovenia,2.33
79,,South Africa,1.91
80,,South Korea,2.82
81,,Spain,2.08
82,,Sri Lanka,1.48
83,,Sweden,3.63
84,,Switzerland,5.65
85,,Syria,1.84
86,,Taiwan,1.69
87,,Tanzania,1.63
88,,Thailand,1.83
89,,Trinidad And Tobago,3.19
90,,Tunisia,1.25
91,,Turkey,2.34
92,,Ukraine,1.57
93,,United Arab Emirates,2.60
94,,United Kingdom,3.29
95,,United States,2.30
96,,Uruguay,3.05
97,,Venezuela,5.83
98,,Vietnam,1.35
