,Rank,City,Average Monthly Net Salary (After Tax)
0,,Albania,330.31
1,,Algeria,318.82
2,,Argentina,930.02
3,,Armenia,291.36
4,,Australia,3232.62
5,,Austria,2099.12
6,,Azerbaijan,243.86
7,,Bahrain,1288.71
8,,Bangladesh,335.67
9,,Belarus,389.09
10,,Belgium,2177.69
11,,Bolivia,447.83
12,,Bosnia And Herzegovina,463.89
13,,Brazil,572.36
14,,Bulgaria,569.53
15,,Cambodia,177.99
16,,Canada,2497.30
17,,Chile,730.06
18,,China,998.97
19,,Colombia,362.95
20,,Costa Rica,763.15
21,,Croatia,840.34
22,,Cyprus,1328.41
23,,Czech Republic,1034.66
24,,Denmark,3077.64
25,,Dominican Republic,332.13
26,,Ecuador,477.50
27,,Egypt,155.52
28,,Estonia,1073.10
29,,Finland,2600.69
30,,France,2286.78
31,,Georgia,317.98
32,,Germany,2545.54
33,,Greece,755.11
34,,Guatemala,502.29
35,,Hong Kong,2711.54
36,,Hungary,694.37
37,,Iceland,3481.03
38,,India,617.76
39,,Indonesia,432.66
40,,Iran,525.92
41,,Iraq,570.70
42,,Ireland,2469.95
43,,Israel,2629.44
44,,Italy,1596.66
45,,Jamaica,555.53
46,,Japan,2709.76
47,,Jordan,628.99
48,,Kazakhstan,415.06
49,,Kenya,328.02
50,,Kosovo (Disputed Territory),452.77
51,,Kuwait,2058.80
52,,Latvia,684.11
53,,Lebanon,1095.87
54,,Lithuania,752.90
55,,Luxembourg,3695.10
56,,Macedonia,366.34
57,,Malaysia,896.86
58,,Malta,1219.63
59,,Mauritius,628.35
60,,Mexico,575.74
61,,Moldova,260.85
62,,Montenegro,527.41
63,,Morocco,456.50
64,,Nepal,202.74
65,,Netherlands,2511.58
66,,New Zealand,2596.69
67,,Nigeria,230.76
68,,Norway,3304.25
69,,Oman,1489.57
70,,Pakistan,300.86
71,,Panama,653.80
72,,Peru,434.24
73,,Philippines,394.04
74,,Poland,900.77
75,,Portugal,909.08
76,,Puerto Rico,2007.07
77,,Qatar,3275.94
78,,Romania,632.87
79,,Russia,704.45
80,,Saudi Arabia,1651.27
81,,Serbia,389.66
82,,Singapore,3022.34
83,,Slovakia,942.79
84,,Slovenia,1184.44
85,,South Africa,1382.45
86,,South Korea,2420.52
87,,Spain,1497.37
88,,Sri Lanka,273.70
89,,Sweden,2577.61
90,,Switzerland,5381.41
91,,Taiwan,1858.94
92,,Tanzania,-
93,,Thailand,586.53
94,,Trinidad And Tobago,1006.82
95,,Tunisia,269.59
96,,Turkey,638.29
97,,Ukraine,251.45
98,,United Arab Emirates,3411.24
99,,United Kingdom,2383.74
100,,United States,3178.94
101,,Uruguay,635.40
102,,Venezuela,33.24
103,,Vietnam,440.02
104,,Zimbabwe,320.00
