,Rank,City,Domestic Beer (0.5 liter bottle)
0,,Albania,0.69
1,,Algeria,1.37
2,,Argentina,1.78
3,,Armenia,0.80
4,,Australia,3.86
5,,Austria,1.01
6,,Azerbaijan,0.98
7,,Bahrain,1.99
8,,Bangladesh,2.80
9,,Belarus,0.94
10,,Belgium,1.39
11,,Bosnia And Herzegovina,0.65
12,,Brazil,1.32
13,,Bulgaria,0.66
14,,Cambodia,0.95
15,,Canada,1.93
16,,Chile,1.31
17,,China,0.81
18,,Colombia,0.93
19,,Costa Rica,1.79
20,,Croatia,1.01
21,,Cyprus,0.94
22,,Czech Republic,0.56
23,,Denmark,1.75
24,,Dominican Republic,1.91
25,,Ecuador,1.08
26,,Egypt,1.46
27,,Estonia,0.96
28,,Finland,2.66
29,,France,1.72
30,,Georgia,0.86
31,,Germany,0.91
32,,Greece,1.13
33,,Guatemala,1.00
34,,Hong Kong,1.26
35,,Hungary,0.79
36,,Iceland,2.64
37,,India,1.46
38,,Indonesia,1.94
39,,Iran,1.89
40,,Iraq,-
41,,Ireland,2.87
42,,Israel,2.47
43,,Italy,1.35
44,,Jamaica,1.88
45,,Japan,2.15
46,,Jordan,4.27
47,,Kazakhstan,1.05
48,,Kenya,1.89
49,,Kuwait,-
50,,Latvia,1.07
51,,Lebanon,1.21
52,,Lithuania,0.90
53,,Luxembourg,1.19
54,,Macedonia,0.78
55,,Malaysia,2.67
56,,Malta,1.40
57,,Mauritius,-
58,,Mexico,1.15
59,,Moldova,0.64
60,,Montenegro,1.08
61,,Morocco,1.75
62,,Nepal,1.66
63,,Netherlands,0.97
64,,New Zealand,4.00
65,,Nigeria,1.25
66,,Norway,3.59
67,,Oman,-
68,,Pakistan,2.61
69,,Panama,0.70
70,,Peru,1.31
71,,Philippines,0.89
72,,Poland,0.78
73,,Portugal,0.99
74,,Puerto Rico,1.52
75,,Qatar,5.15
76,,Romania,0.73
77,,Russia,1.01
78,,Saudi Arabia,0.96
79,,Serbia,0.61
80,,Singapore,4.32
81,,Slovakia,0.79
82,,Slovenia,1.16
83,,South Africa,1.37
84,,South Korea,1.75
85,,Spain,0.87
86,,Sri Lanka,1.34
87,,Sweden,1.94
88,,Switzerland,1.99
89,,Taiwan,1.37
90,,Tanzania,1.27
91,,Thailand,1.51
92,,Trinidad And Tobago,-
93,,Tunisia,1.04
94,,Turkey,2.00
95,,Ukraine,0.49
96,,United Arab Emirates,6.24
97,,United Kingdom,1.86
98,,United States,1.85
99,,Uruguay,1.93
100,,Venezuela,1.22
101,,Vietnam,0.75
102,,Zimbabwe,1.04
