,Rank,City,Price per Square Meter to Buy Apartment Outside of Centre
0,,Albania,599.20
1,,Algeria,949.31
2,,Argentina,1825.17
3,,Armenia,656.63
4,,Australia,4274.46
5,,Austria,3361.49
6,,Azerbaijan,715.99
7,,Bahrain,-
8,,Bangladesh,701.89
9,,Belarus,1049.63
10,,Belgium,2770.91
11,,Bolivia,858.95
12,,Bosnia And Herzegovina,931.03
13,,Brazil,1508.04
14,,Bulgaria,792.90
15,,Cambodia,-
16,,Canada,2710.01
17,,Chile,1432.80
18,,China,3420.84
19,,Colombia,1358.05
20,,Costa Rica,1278.09
21,,Croatia,1418.50
22,,Cyprus,1252.60
23,,Czech Republic,1759.33
24,,Denmark,3948.79
25,,Dominican Republic,661.95
26,,Ecuador,1075.00
27,,Egypt,438.85
28,,El Salvador,-
29,,Estonia,1721.72
30,,Finland,3390.44
31,,France,4122.19
32,,Georgia,582.80
33,,Germany,3225.54
34,,Greece,1423.58
35,,Guatemala,-
36,,Hong Kong,14452.39
37,,Hungary,1062.69
38,,Iceland,2491.78
39,,India,756.25
40,,Indonesia,945.09
41,,Iran,877.05
42,,Iraq,802.44
43,,Ireland,3425.81
44,,Israel,4459.70
45,,Italy,3040.80
46,,Jamaica,-
47,,Japan,4967.94
48,,Jordan,799.54
49,,Kazakhstan,857.58
50,,Kenya,-
51,,Kosovo (Disputed Territory),709.50
52,,Kuwait,3984.06
53,,Latvia,1128.72
54,,Lebanon,1764.59
55,,Lithuania,1458.74
56,,Luxembourg,6780.99
57,,Macedonia,886.92
58,,Malaysia,1224.71
59,,Malta,2334.99
60,,Mauritius,-
61,,Mexico,710.95
62,,Moldova,540.60
63,,Montenegro,1256.83
64,,Morocco,853.82
65,,Nepal,-
66,,Netherlands,3152.61
67,,New Zealand,3526.65
68,,Nigeria,1030.25
69,,Norway,4971.11
70,,Oman,-
71,,Pakistan,464.37
72,,Panama,1479.80
73,,Peru,1362.70
74,,Philippines,779.07
75,,Poland,1413.16
76,,Portugal,1387.26
77,,Puerto Rico,1393.34
78,,Qatar,2403.98
79,,Romania,1008.62
80,,Russia,1151.23
81,,Saudi Arabia,794.91
82,,Serbia,1095.97
83,,Singapore,8552.73
84,,Slovakia,1685.61
85,,Slovenia,1885.42
86,,South Africa,691.93
87,,South Korea,3986.11
88,,Spain,2069.19
89,,Sri Lanka,844.24
90,,Sweden,4843.99
91,,Switzerland,9273.51
92,,Taiwan,3956.91
93,,Thailand,1645.58
94,,Trinidad And Tobago,-
95,,Tunisia,670.05
96,,Turkey,850.00
97,,Ukraine,665.19
98,,United Arab Emirates,2842.01
99,,United Kingdom,6570.13
100,,United States,1696.42
101,,Uruguay,2166.12
102,,Venezuela,1049.64
103,,Vietnam,815.95
104,,Zimbabwe,-
