,Rank,City,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)
0,,Albania,0.24
1,,Algeria,0.08
2,,Argentina,0.37
3,,Armenia,0.06
4,,Australia,0.48
5,,Austria,0.08
6,,Azerbaijan,0.08
7,,Bahrain,0.09
8,,Bangladesh,0.01
9,,Belarus,0.03
10,,Belgium,0.23
11,,Bosnia And Herzegovina,0.11
12,,Brazil,0.43
13,,Bulgaria,0.18
14,,Cambodia,0.07
15,,Canada,0.23
16,,Chile,0.20
17,,China,0.04
18,,Colombia,0.08
19,,Costa Rica,0.06
20,,Croatia,0.13
21,,Cyprus,0.09
22,,Czech Republic,0.14
23,,Denmark,0.13
24,,Dominican Republic,0.16
25,,Ecuador,0.15
26,,Egypt,0.02
27,,Estonia,0.05
28,,Finland,0.08
29,,France,0.25
30,,Georgia,0.07
31,,Germany,0.11
32,,Greece,0.23
33,,Guatemala,0.16
34,,Hong Kong,0.03
35,,Hungary,0.13
36,,Iceland,0.15
37,,India,0.02
38,,Indonesia,0.12
39,,Iran,0.03
40,,Iraq,0.08
41,,Ireland,0.28
42,,Israel,0.10
43,,Italy,0.17
44,,Jamaica,0.07
45,,Japan,0.29
46,,Jordan,0.06
47,,Kazakhstan,0.07
48,,Kenya,0.04
49,,Kuwait,0.14
50,,Latvia,0.08
51,,Lebanon,0.30
52,,Lithuania,0.08
53,,Luxembourg,0.17
54,,Macedonia,0.10
55,,Malaysia,0.07
56,,Malta,0.27
57,,Mauritius,0.07
58,,Mexico,0.09
59,,Moldova,0.07
60,,Montenegro,0.13
61,,Morocco,0.20
62,,Nepal,0.02
63,,Netherlands,0.19
64,,New Zealand,0.44
65,,Nigeria,0.11
66,,Norway,0.11
67,,Oman,0.12
68,,Pakistan,0.02
69,,Panama,0.11
70,,Peru,0.16
71,,Philippines,0.16
72,,Poland,0.07
73,,Portugal,0.16
74,,Puerto Rico,0.14
75,,Qatar,0.14
76,,Romania,0.14
77,,Russia,0.03
78,,Saudi Arabia,0.13
79,,Serbia,0.09
80,,Singapore,0.13
81,,Slovakia,0.12
82,,Slovenia,0.12
83,,South Africa,0.13
84,,South Korea,0.17
85,,Spain,0.17
86,,Sri Lanka,0.02
87,,Sweden,0.13
88,,Switzerland,0.45
89,,Taiwan,0.26
90,,Tanzania,0.20
91,,Thailand,0.05
92,,Trinidad And Tobago,0.20
93,,Tunisia,0.07
94,,Turkey,0.17
95,,Ukraine,0.04
96,,United Arab Emirates,0.12
97,,United Kingdom,0.20
98,,United States,0.15
99,,Uruguay,0.29
100,,Venezuela,0.13
101,,Vietnam,0.08
102,,Zimbabwe,0.15
