,Rank,City,"Milk (regular), (1 liter)"
0,,Albania,1.03
1,,Argentina,1.21
2,,Australia,1.53
3,,Austria,1.17
4,,Bahrain,1.02
5,,Bangladesh,0.75
6,,Belarus,0.67
7,,Belgium,1.07
8,,Bosnia And Herzegovina,0.93
9,,Brazil,1.08
10,,Bulgaria,1.13
11,,Cambodia,1.55
12,,Canada,1.90
13,,Chile,1.22
14,,China,1.97
15,,Colombia,1.20
16,,Costa Rica,1.30
17,,Croatia,0.97
18,,Cyprus,1.89
19,,Czech Republic,0.81
20,,Denmark,1.07
21,,Dominican Republic,1.61
22,,Ecuador,0.96
23,,Egypt,1.16
24,,Estonia,0.82
25,,Finland,1.11
26,,France,1.14
27,,Georgia,1.67
28,,Germany,0.86
29,,Greece,1.48
30,,Hong Kong,2.53
31,,Hungary,0.88
32,,Iceland,1.07
33,,India,0.61
34,,Indonesia,1.41
35,,Iran,1.16
36,,Iraq,1.36
37,,Ireland,1.35
38,,Israel,1.53
39,,Italy,1.54
40,,Japan,2.25
41,,Jordan,1.49
42,,Kazakhstan,1.39
43,,Kenya,1.02
44,,Kuwait,1.30
45,,Latvia,1.15
46,,Lebanon,1.90
47,,Lithuania,0.98
48,,Luxembourg,1.63
49,,Macedonia,0.99
50,,Malaysia,1.69
51,,Malta,1.09
52,,Mauritius,1.22
53,,Mexico,0.95
54,,Morocco,0.73
55,,Nepal,0.58
56,,Netherlands,1.13
57,,New Zealand,1.73
58,,Nigeria,2.80
59,,Norway,2.38
60,,Oman,1.14
61,,Pakistan,0.83
62,,Peru,1.30
63,,Philippines,1.50
64,,Poland,0.73
65,,Portugal,0.74
66,,Puerto Rico,1.98
67,,Qatar,2.13
68,,Romania,1.06
69,,Russia,1.13
70,,Saudi Arabia,1.13
71,,Serbia,0.92
72,,Singapore,2.17
73,,Slovakia,0.89
74,,Slovenia,1.02
75,,South Africa,1.13
76,,South Korea,1.94
77,,Spain,0.98
78,,Sri Lanka,1.17
79,,Sweden,1.20
80,,Switzerland,1.47
81,,Taiwan,2.62
82,,Tanzania,1.16
83,,Thailand,1.51
84,,Tunisia,0.64
85,,Turkey,1.06
86,,Ukraine,1.04
87,,United Arab Emirates,1.38
88,,United Kingdom,1.42
89,,United States,0.99
90,,Uruguay,0.90
91,,Venezuela,2.24
92,,Vietnam,1.37
