,Rank,City,Taxi 1km (Normal Tariff)
0,,Albania,2.30
1,,Algeria,0.47
2,,Argentina,0.44
3,,Armenia,0.21
4,,Australia,1.39
5,,Austria,1.84
6,,Azerbaijan,0.44
7,,Bahrain,2.66
8,,Bangladesh,0.47
9,,Belarus,0.23
10,,Belgium,2.23
11,,Bolivia,2.17
12,,Bosnia And Herzegovina,0.68
13,,Brazil,0.56
14,,Bulgaria,0.51
15,,Cambodia,1.00
16,,Canada,1.46
17,,Chile,1.35
18,,China,0.35
19,,Colombia,1.49
20,,Costa Rica,1.21
21,,Croatia,0.88
22,,Cyprus,-
23,,Czech Republic,1.16
24,,Denmark,2.24
25,,Dominican Republic,2.67
26,,Ecuador,1.50
27,,Egypt,0.22
28,,Estonia,0.67
29,,Finland,1.78
30,,France,1.98
31,,Georgia,0.31
32,,Germany,2.23
33,,Ghana,0.95
34,,Greece,1.11
35,,Guatemala,0.65
36,,Hong Kong,1.10
37,,Hungary,0.96
38,,Iceland,-
39,,India,0.27
40,,Indonesia,0.35
41,,Iran,0.48
42,,Iraq,1.67
43,,Ireland,1.67
44,,Israel,1.14
45,,Italy,1.34
46,,Japan,3.72
47,,Jordan,0.60
48,,Kazakhstan,0.36
49,,Kenya,1.88
50,,Kosovo (Disputed Territory),0.56
51,,Kuwait,1.62
52,,Latvia,0.84
53,,Lebanon,1.98
54,,Lithuania,0.72
55,,Luxembourg,-
56,,Malaysia,0.69
57,,Malta,1.11
58,,Mauritius,-
59,,Mexico,0.45
60,,Moldova,0.26
61,,Montenegro,0.67
62,,Morocco,0.61
63,,Nepal,0.66
64,,Netherlands,2.34
65,,New Zealand,1.87
66,,Nigeria,1.29
67,,North Macedonia,0.51
68,,Norway,1.45
69,,Oman,0.52
70,,Pakistan,0.18
71,,Panama,2.00
72,,Peru,1.45
73,,Philippines,0.27
74,,Poland,0.63
75,,Portugal,0.56
76,,Puerto Rico,-
77,,Qatar,0.68
78,,Romania,0.55
79,,Russia,0.21
80,,Saudi Arabia,1.33
81,,Serbia,0.61
82,,Singapore,0.55
83,,Slovakia,1.11
84,,Slovenia,1.11
85,,South Africa,0.69
86,,South Korea,0.62
87,,Spain,1.20
88,,Sri Lanka,0.27
89,,Sweden,1.68
90,,Switzerland,3.96
91,,Syria,-
92,,Taiwan,0.84
93,,Tanzania,-
94,,Thailand,1.17
95,,Trinidad And Tobago,-
96,,Tunisia,0.35
97,,Turkey,0.51
98,,Uganda,0.59
99,,Ukraine,0.28
100,,United Arab Emirates,0.54
101,,United Kingdom,1.58
102,,United States,1.71
103,,Uruguay,0.89
104,,Uzbekistan,0.20
105,,Venezuela,2.00
106,,Vietnam,0.60
