,Rank,City,Taxi 1km (Normal Tariff)
0,,Albania,2.05
1,,Algeria,0.36
2,,Argentina,1.05
3,,Armenia,0.21
4,,Australia,1.62
5,,Austria,1.70
6,,Azerbaijan,0.46
7,,Bahrain,0.80
8,,Bangladesh,0.46
9,,Belarus,0.30
10,,Belgium,2.27
11,,Bolivia,1.02
12,,Bosnia And Herzegovina,0.58
13,,Brazil,0.79
14,,Bulgaria,0.46
15,,Cambodia,1.00
16,,Canada,1.37
17,,Chile,0.99
18,,China,0.37
19,,Colombia,1.36
20,,Costa Rica,1.18
21,,Croatia,0.91
22,,Cyprus,0.83
23,,Czech Republic,1.05
24,,Denmark,2.33
25,,Dominican Republic,3.27
26,,Ecuador,1.00
27,,Egypt,0.20
28,,El Salvador,3.00
29,,Estonia,0.57
30,,Finland,1.76
31,,France,2.02
32,,Georgia,0.24
33,,Germany,2.27
34,,Greece,0.84
35,,Guatemala,0.85
36,,Hong Kong,1.03
37,,Hungary,1.02
38,,Iceland,2.35
39,,India,0.18
40,,Indonesia,0.38
41,,Iran,0.33
42,,Iraq,2.00
43,,Ireland,1.42
44,,Israel,1.03
45,,Italy,1.70
46,,Jamaica,-
47,,Japan,3.54
48,,Jordan,0.70
49,,Kazakhstan,0.30
50,,Kenya,1.98
51,,Kosovo (Disputed Territory),0.57
52,,Kuwait,3.32
53,,Latvia,0.45
54,,Lebanon,1.40
55,,Lithuania,0.68
56,,Luxembourg,3.41
57,,Macedonia,0.46
58,,Malaysia,0.38
59,,Malta,3.41
60,,Mauritius,2.83
61,,Mexico,0.43
62,,Moldova,0.15
63,,Montenegro,0.57
64,,Morocco,0.62
65,,Nepal,0.42
66,,Netherlands,2.44
67,,New Zealand,2.09
68,,Nigeria,2.51
69,,Norway,1.66
70,,Oman,0.52
71,,Pakistan,0.37
72,,Panama,1.50
73,,Peru,1.51
74,,Philippines,0.33
75,,Poland,0.57
76,,Portugal,0.53
77,,Puerto Rico,2.00
78,,Qatar,0.52
79,,Romania,0.38
80,,Russia,0.23
81,,Saudi Arabia,1.47
82,,Serbia,0.60
83,,Singapore,0.41
84,,Slovakia,0.79
85,,Slovenia,1.01
86,,South Africa,0.67
87,,South Korea,1.01
88,,Spain,1.25
89,,Sri Lanka,0.31
90,,Sweden,1.62
91,,Switzerland,3.31
92,,Taiwan,0.62
93,,Thailand,0.20
94,,Trinidad And Tobago,0.75
95,,Tunisia,0.24
96,,Turkey,0.84
97,,Ukraine,0.20
98,,United Arab Emirates,0.54
99,,United Kingdom,2.71
100,,United States,1.68
101,,Uruguay,0.68
102,,Venezuela,1.00
103,,Vietnam,0.54
104,,Zimbabwe,1.00
