,Rank,City,Imported Beer (0.33 liter bottle)
0,,Algeria,2.54
1,,Argentina,4.21
2,,Australia,7.40
3,,Austria,4.03
4,,Azerbaijan,5.10
5,,Bahrain,5.41
6,,Bangladesh,5.24
7,,Belarus,2.95
8,,Belgium,3.90
9,,Bosnia And Herzegovina,2.00
10,,Brazil,3.74
11,,Bulgaria,2.00
12,,Canada,5.77
13,,Chile,3.00
14,,China,3.27
15,,Colombia,2.63
16,,Costa Rica,3.06
17,,Croatia,2.60
18,,Cyprus,4.87
19,,Czech Republic,1.77
20,,Denmark,6.97
21,,Dominican Republic,2.60
22,,Ecuador,2.50
23,,Egypt,2.18
24,,Estonia,1.95
25,,Ethiopia,2.00
26,,Finland,6.60
27,,France,5.19
28,,Georgia,1.81
29,,Germany,3.90
30,,Ghana,2.86
31,,Greece,5.19
32,,Hong Kong,3.22
33,,Hungary,1.75
34,,Iceland,6.14
35,,India,2.39
36,,Indonesia,4.09
37,,Iran,7.50
38,,Iraq,5.00
39,,Ireland,5.84
40,,Israel,6.79
41,,Italy,4.55
42,,Jamaica,2.94
43,,Japan,4.98
44,,Jordan,5.63
45,,Kazakhstan,2.68
46,,Kenya,2.63
47,,Kuwait,-
48,,Latvia,1.85
49,,Lebanon,3.50
50,,Lithuania,1.95
51,,Luxembourg,3.90
52,,Macedonia,2.06
53,,Malaysia,3.95
54,,Malta,2.60
55,,Mexico,2.34
56,,Moldova,1.63
57,,Morocco,4.50
58,,Nepal,3.35
59,,Netherlands,3.90
60,,New Zealand,6.40
61,,Nigeria,2.46
62,,Norway,11.93
63,,Oman,-
64,,Pakistan,5.14
65,,Panama,3.00
66,,Peru,3.36
67,,Philippines,1.90
68,,Poland,1.85
69,,Portugal,1.95
70,,Puerto Rico,3.00
71,,Qatar,10.99
72,,Romania,1.93
73,,Russia,3.13
74,,Saudi Arabia,1.07
75,,Serbia,2.04
76,,Singapore,6.35
77,,Slovakia,1.95
78,,Slovenia,3.25
79,,South Africa,1.99
80,,South Korea,4.97
81,,Spain,3.85
82,,Sri Lanka,3.17
83,,Sweden,7.55
84,,Switzerland,5.35
85,,Syria,2.00
86,,Taiwan,2.22
87,,Tanzania,2.00
88,,Thailand,2.86
89,,Trinidad And Tobago,2.38
90,,Tunisia,1.84
91,,Turkey,4.23
92,,Ukraine,1.87
93,,United Arab Emirates,8.17
94,,United Kingdom,4.85
95,,United States,5.00
96,,Uruguay,3.97
97,,Venezuela,4.83
98,,Vietnam,2.02
