,Rank,City,Monthly Pass (Regular Price)
0,,Albania,11.73
1,,Argentina,18.61
2,,Australia,116.50
3,,Austria,55.56
4,,Bahrain,1.00
5,,Bangladesh,9.08
6,,Belarus,10.04
7,,Belgium,43.21
8,,Bosnia And Herzegovina,31.15
9,,Brazil,69.11
10,,Bulgaria,31.65
11,,Cambodia,50.00
12,,Canada,78.64
13,,Chile,38.62
14,,China,15.70
15,,Colombia,37.62
16,,Costa Rica,27.50
17,,Croatia,57.38
18,,Cyprus,37.04
19,,Czech Republic,26.44
20,,Denmark,59.07
21,,Dominican Republic,25.08
22,,Ecuador,17.00
23,,Egypt,16.61
24,,Estonia,24.69
25,,Finland,56.79
26,,France,54.44
27,,Georgia,14.61
28,,Germany,74.07
29,,Greece,48.77
30,,Hong Kong,57.35
31,,Hungary,40.31
32,,Iceland,77.35
33,,India,10.67
34,,Indonesia,19.21
35,,Iran,32.50
36,,Iraq,40.00
37,,Ireland,111.11
38,,Israel,59.62
39,,Italy,43.21
40,,Japan,101.86
41,,Jordan,44.50
42,,Kazakhstan,13.18
43,,Kenya,53.15
44,,Kuwait,49.32
45,,Latvia,30.16
46,,Lebanon,77.23
47,,Lithuania,35.75
48,,Luxembourg,55.56
49,,Macedonia,29.33
50,,Malaysia,31.45
51,,Malta,37.04
52,,Mauritius,55.79
53,,Mexico,26.48
54,,Morocco,24.69
55,,Nepal,-
56,,Netherlands,86.42
57,,New Zealand,78.20
58,,Nigeria,100.00
59,,Norway,101.47
60,,Oman,-
61,,Pakistan,13.77
62,,Peru,60.00
63,,Philippines,11.52
64,,Poland,25.42
65,,Portugal,43.21
66,,Puerto Rico,40.00
67,,Qatar,-
68,,Romania,13.77
69,,Russia,36.84
70,,Saudi Arabia,26.67
71,,Serbia,30.74
72,,Singapore,76.36
73,,Slovakia,29.63
74,,Slovenia,45.68
75,,South Africa,52.94
76,,South Korea,33.95
77,,Spain,59.88
78,,Sri Lanka,3.43
79,,Sweden,96.29
80,,Switzerland,75.26
81,,Taiwan,50.28
82,,Tanzania,17.60
83,,Thailand,21.39
84,,Tunisia,12.49
85,,Turkey,70.97
86,,Ukraine,12.29
87,,United Arab Emirates,50.00
88,,United Kingdom,86.15
89,,United States,68.00
90,,Uruguay,27.40
91,,Venezuela,11.29
92,,Vietnam,6.71
