,Rank,City,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
0,,Albania,20.83
1,,Algeria,19.82
2,,Argentina,33.15
3,,Armenia,15.61
4,,Australia,49.93
5,,Austria,34.25
6,,Azerbaijan,16.71
7,,Bahrain,54.78
8,,Bangladesh,27.28
9,,Belarus,14.03
10,,Belgium,49.49
11,,Bolivia,55.71
12,,Bosnia And Herzegovina,24.62
13,,Brazil,29.71
14,,Brunei,111.43
15,,Bulgaria,11.79
16,,Cambodia,22.69
17,,Canada,53.24
18,,Chile,35.85
19,,China,14.15
20,,Colombia,31.69
21,,Costa Rica,58.22
22,,Croatia,24.71
23,,Cyprus,42.24
24,,Czech Republic,20.54
25,,Denmark,36.74
26,,Dominican Republic,55.31
27,,Ecuador,40.96
28,,Egypt,16.74
29,,El Salvador,43.36
30,,Estonia,25.96
31,,Ethiopia,-
32,,Finland,26.01
33,,France,30.35
34,,Georgia,15.98
35,,Germany,34.65
36,,Greece,34.03
37,,Guatemala,82.70
38,,Honduras,67.93
39,,Hong Kong,23.39
40,,Hungary,14.19
41,,Iceland,66.34
42,,India,11.64
43,,Indonesia,29.87
44,,Iran,18.13
45,,Iraq,42.91
46,,Ireland,58.33
47,,Israel,25.66
48,,Italy,32.13
49,,Jamaica,41.43
50,,Japan,44.10
51,,Jordan,42.65
52,,Kazakhstan,11.47
53,,Kenya,56.01
54,,Kosovo (Disputed Territory),13.99
55,,Kuwait,24.49
56,,Latvia,17.89
57,,Lebanon,54.77
58,,Lithuania,12.00
59,,Luxembourg,52.55
60,,Macedonia,15.94
61,,Malaysia,28.77
62,,Malta,39.21
63,,Mauritius,34.56
64,,Mexico,26.20
65,,Moldova,9.21
66,,Montenegro,24.28
67,,Morocco,34.52
68,,Namibia,42.88
69,,Nepal,17.33
70,,Netherlands,43.95
71,,New Zealand,54.78
72,,Nigeria,44.08
73,,Norway,55.00
74,,Oman,74.44
75,,Pakistan,20.07
76,,Palestinian Territory,37.71
77,,Panama,43.86
78,,Peru,37.17
79,,Philippines,45.65
80,,Poland,13.70
81,,Portugal,35.78
82,,Puerto Rico,61.65
83,,Qatar,89.49
84,,Romania,8.72
85,,Russia,7.29
86,,Saudi Arabia,65.58
87,,Serbia,22.93
88,,Singapore,32.38
89,,Slovakia,17.56
90,,Slovenia,37.17
91,,South Africa,63.57
92,,South Korea,22.11
93,,Spain,45.00
94,,Sri Lanka,16.99
95,,Sweden,31.98
96,,Switzerland,56.55
97,,Taiwan,21.86
98,,Thailand,22.13
99,,Trinidad And Tobago,45.41
100,,Tunisia,16.07
101,,Turkey,15.37
102,,Uganda,58.99
103,,Ukraine,4.92
104,,United Arab Emirates,99.61
105,,United Kingdom,38.33
106,,United States,63.46
107,,Uruguay,32.88
108,,Uzbekistan,61.50
109,,Venezuela,6.21
110,,Vietnam,11.02
